x,y
3.4658,1.59397
3.4316,1.68794
3.39739,1.78191
3.36319,1.87588
3.32899,1.96985
3.29479,2.06382
3.26059,2.15778
3.22638,2.25175
3.19218,2.34572
3.15798,2.43969
3.5342,1.59397
3.5684,1.68794
3.60261,1.78191
3.63681,1.87588
3.67101,1.96985
3.70521,2.06382
3.73941,2.15778
3.77362,2.25175
3.80782,2.34572
3.84202,2.43969
3.87622,2.53366
3.91042,2.62763
3.94463,2.7216
3.97883,2.81557
4.01303,2.90954
3.5,1.6
3.5,1.7
3.5,1.8
3.5,1.9
3.5,2
3.5,2.1
3.5,2.2
3.5,2.3
3.5,2.4
3.5,2.5
3.5,2.6
3.5,2.7
3.5,2.8
3.5,2.9
3.5,3
3.5,3.1
3.5,3.2
3.5,1.7
3.5,1.8
3.5,1.9
3.5,2
3.5,2.1
3.5,2.2
3.5,2.3
3.5,2.4
3.5,2.5
3.5,2.6
3.5,2.7
3.5,2.8
3.5,2.9
3.5,3
3.5,3.1
3.5,3.2
3.59848,1.67057
3.66276,1.74718
3.72704,1.82378
3.79132,1.90039
3.8556,1.97699
3.91987,2.0536
3.98415,2.1302
4.04843,2.2068
4.11271,2.28341
4.17699,2.36001
4.24127,2.43662
4.30555,2.51322
4.36983,2.58983
4.4341,2.66643
4.49838,2.74304
4.56266,2.81964
4.62694,2.89624
4.69122,2.97285
4.7555,3.04945
4.81978,3.12606
4.88406,3.20266
4.94833,3.27927
5.01261,3.35587
3.4658,1.69397
3.4658,1.79397
3.4658,1.89397
3.4658,1.99397
3.4658,2.09397
3.4658,2.19397
3.4658,2.29397
3.4658,2.39397
3.4658,2.49397
3.4658,2.59397
3.4658,2.69397
3.4658,2.79397
3.4658,2.89397
3.4658,2.99397
3.4658,3.09397
3.4658,3.19397
3.4658,3.29397
3.5342,1.69397
3.5342,1.79397
3.5342,1.89397
3.5342,1.99397
3.5342,2.09397
3.5342,2.19397
3.5342,2.29397
3.5342,2.39397
3.5342,2.49397
3.5342,2.59397
3.5342,2.69397
3.5342,2.79397
3.5342,2.89397
3.5342,2.99397
3.5342,3.09397
3.5342,3.19397
3.4658,1.69397
3.4316,1.78794
3.39739,1.88191
3.36319,1.97588
3.32899,2.06985
3.29479,2.16382
3.26059,2.25778
3.22638,2.35175
3.19218,2.44572
3.40152,1.67057
3.33724,1.74718
3.27296,1.82378
3.20868,1.90039
3.1444,1.97699
3.08013,2.0536
3.01585,2.1302
3.5684,1.68794
3.60261,1.78191
3.63681,1.87588
3.67101,1.96985
3.70521,2.06382
