score,computational_cost,nb_calls
1000,17118,3.37343e+06
1000,16934.9,3.30501e+06
1000,16905.5,3.28568e+06
1000,21080,3.46749e+06
1000,24910.2,3.79082e+06
1000,18596.1,3.44435e+06
1000,17681.4,3.19464e+06
1000,12895,3.22201e+06
273,6680.41,964087
1000,16705.5,3.29125e+06
1000,17489.3,3.22846e+06
883,14555.7,2.96413e+06
372,7684.76,1.34157e+06
900,12570.9,2.74126e+06
469,6758.29,1.40332e+06
1000,18750.5,3.46854e+06
1000,22267.7,3.73922e+06
1000,14650.1,3.2035e+06
1000,17045,3.30625e+06
413,6826.33,1.24673e+06
633,13340.4,2.1723e+06
808,12376.1,2.81559e+06
778,12394.7,2.39896e+06
1000,20342,3.36732e+06
1000,21881.2,3.43922e+06
805,17108.3,2.72113e+06
1000,16993.5,3.1705e+06
1000,17035.2,3.39922e+06
1000,16902.9,3.27156e+06
1000,16465.3,3.38722e+06
1000,15723.1,3.21608e+06
1000,21317.7,3.48573e+06
275,6209.55,933917
1000,25446.8,3.74062e+06
1000,13931.3,3.27655e+06
1000,16536.6,3.35022e+06
450,10039.7,1.48119e+06
844,18560.8,3.05457e+06
380,6083.4,1.15704e+06
706,9982.81,2.13313e+06
693,14372.1,2.38826e+06
1000,18512.1,3.47846e+06
1000,18488.3,3.36166e+06
369,8584.64,1.28032e+06
1000,17822.7,3.26067e+06
1000,19836.2,3.25423e+06
278,6348.64,1.0289e+06
1000,21142,3.49684e+06
911,15167.8,3.009e+06
969,17091.8,3.22213e+06
1000,17707.1,3.31369e+06
1000,18157.5,3.4202e+06
1000,20122.3,3.46253e+06
1000,21901.8,3.40663e+06
1000,20929.6,3.41462e+06
371,7605.55,1.17709e+06
1000,18732.7,3.27729e+06
1000,20724.2,3.42515e+06
1000,22292.3,3.53769e+06
1000,20515.2,3.3375e+06
486,6766.68,1.53357e+06
114,2207.81,347457
1000,14182.6,3.22382e+06
1000,17871.5,3.2614e+06
1000,17057.8,3.43154e+06
1000,13837.5,3.08368e+06
1000,17156.4,3.3039e+06
1000,19104.6,3.53653e+06
889,18306.8,3.0679e+06
807,18230.9,2.81204e+06
627,14084.3,2.09564e+06
1000,22361.9,3.53887e+06
342,8121.14,1.2474e+06
794,13838.6,2.63082e+06
728,17168.5,2.69113e+06
1000,15993,3.28274e+06
575,8930.89,1.66842e+06
1000,17554.9,3.37568e+06
1000,15054.5,3.26418e+06
1000,21217.7,3.53538e+06
972,21727,3.39811e+06
508,6901.27,1.51791e+06
1000,16822.8,3.45009e+06
398,8122.22,1.31176e+06
507,9402.67,1.65486e+06
868,22099.4,3.26305e+06
754,13841.9,2.62712e+06
683,12907.6,2.25488e+06
632,11571.7,2.21405e+06
1000,14910.4,3.27421e+06
1000,16989.4,3.28408e+06
940,12831,3.02162e+06
1000,13640.4,3.36777e+06
421,6136.27,1.35779e+06
719,8905.08,2.31272e+06
1000,12463.5,2.99144e+06
938,14761.8,3.01693e+06
1000,14324.7,3.45251e+06
838,12779,2.83204e+06
1000,14865.9,3.31312e+06
