,score,computational_cost,nb_calls
0,241,8719.39,2037990.0
1,1000,36954.2,9176960.0
2,467,17341.7,4226400.0
3,1000,35712.9,9363610.0
4,221,10588.12,2116490.0
5,723,25638.1,6325530.0
6,557,24680.4,5266540.0
7,214,11605.56,1995930.0
8,257,10662.86,2263240.0
9,831,34133.8,7834860.0
10,1000,38394.3,9375630.0
11,424,17146.0,3871370.0
12,300,12752.1,2703160.0
13,1000,35861.8,8990350.0
14,1000,33497.5,9467050.0
15,765,27413.5,6828890.0
16,1000,37814.8,8950090.0
17,524,25567.9,4905080.0
18,627,26704.0,5648460.0
19,1000,39315.0,9160330.0
20,1000,40530.9,9351230.0
21,604,22435.1,5430010.0
22,1000,31863.9,9012900.0
23,337,17077.0,3166710.0
24,971,33572.8,8890810.0
25,1000,45819.2,9256900.0
26,839,37468.6,7977120.0
27,1000,34435.3,9068960.0
28,175,8993.79,1721140.0
29,110,6286.2,987915.0
30,1000,42772.7,9563620.0
31,346,17134.6,3287080.0
32,387,19375.2,3740720.0
33,975,34173.7,8984090.0
34,1000,41042.9,9406910.0
35,830,35823.9,7846680.0
36,970,34486.2,8992790.0
37,603,21042.3,5602290.0
38,449,21807.9,4390400.0
39,660,26119.8,6033720.0
40,981,30111.4,9034770.0
41,672,22486.2,6166730.0
42,556,26622.3,5129380.0
43,465,16175.8,4236170.0
44,1000,27462.7,8784540.0
45,571,18783.1,5168750.0
46,729,29217.4,6939800.0
47,501,19159.4,4455670.0
48,713,27121.3,6611020.0
49,294,10243.09,2462360.0
50,448,19608.2,4118310.0
51,1000,30643.4,8633990.0
52,173,9308.130000000001,1697430.0
53,631,21992.2,5766620.0
54,1000,33136.9,9438070.0
55,347,16637.0,3296150.0
56,518,23796.9,4816960.0
57,406,18546.1,3828710.0
58,462,19959.3,4216770.0
59,1000,34197.2,9143590.0
60,576,24188.9,5578370.0
61,325,14556.0,3011660.0
62,472,17876.2,4193780.0
63,1000,38302.7,9825610.0
64,529,23788.3,5096700.0
65,674,31680.2,6430530.0
66,222,10913.97,2206140.0
67,1000,36674.6,9379870.0
68,763,27239.6,6742090.0
69,866,28753.7,8237320.0
70,514,20527.9,4435540.0
71,410,15425.0,3879940.0
72,662,27039.5,6077540.0
73,425,21114.9,3992040.0
74,642,18489.0,5518080.0
75,386,17087.2,3560300.0
76,897,29666.8,8272500.0
77,309,13453.5,2962490.0
78,890,31970.2,8205650.0
79,507,25823.6,5002920.0
80,321,11028.3,2974150.0
81,306,15267.3,2772290.0
82,371,14698.9,3363840.0
83,884,30657.0,8052270.0
84,780,33697.2,7215850.0
85,623,23968.9,5590840.0
86,548,19281.2,5013980.0
87,594,28223.0,5629060.0
88,809,26444.6,7176100.0
89,1000,29513.9,9142790.0
90,1000,33954.7,8975270.0
91,1000,29200.8,9482350.0
92,806,38257.6,7841350.0
93,1000,37677.2,8921950.0
94,230,10137.48,2025260.0
95,352,12335.3,3041280.0
96,702,28188.3,6451170.0
97,137,6880.29,1300060.0
98,611,22632.4,5486960.0
99,487,20678.9,4352340.0
