score,computational_cost,nb_calls
318,14887.7,5.26862e+06
145,8659.93,2.404e+06
100,7100.49,1.66979e+06
149,8209.61,2.53303e+06
146,10099.3,2.43326e+06
208,17514,3.45602e+06
187,9454.06,3.14948e+06
84,6333.55,1.40767e+06
268,14605.2,4.42856e+06
89,6741.12,1.4938e+06
76,6239.42,1.27499e+06
125,7061.35,2.08271e+06
166,9544.56,2.78424e+06
70,5409.05,1.17709e+06
379,17914.5,6.23886e+06
155,9663,2.57687e+06
254,14934.9,4.19366e+06
364,19775.6,5.99688e+06
327,18148.5,5.41508e+06
69,5294.5,1.15993e+06
346,15252.9,5.75622e+06
79,5682.16,1.3242e+06
66,5322.67,1.1115e+06
182,11987.6,3.03018e+06
63,5119.94,1.05922e+06
214,17223.9,3.5499e+06
206,14263.5,3.41825e+06
253,15342.1,4.1754e+06
309,16874.3,5.10911e+06
275,17865.1,4.54568e+06
201,10058.7,3.34179e+06
105,7328.61,1.75723e+06
85,6462.55,1.42255e+06
99,6378.64,1.65248e+06
96,7411.23,1.60597e+06
114,8949.47,1.9021e+06
74,5746.84,1.24502e+06
65,5132.93,1.09258e+06
163,13228.1,2.70805e+06
224,13660.7,3.7185e+06
99,5909.52,1.65251e+06
83,5683.04,1.39669e+06
106,7882.98,1.76888e+06
120,6977.48,2.00274e+06
206,15459.7,3.41738e+06
60,4689.06,1.00964e+06
135,7249.54,2.2472e+06
129,8418.32,2.15158e+06
86,6673.45,1.4392e+06
133,7518.23,2.23285e+06
107,6607.19,1.80052e+06
221,15112.7,3.68232e+06
252,11988.2,4.18348e+06
120,8919.13,1.99829e+06
90,5523.34,1.51217e+06
81,5636.37,1.35757e+06
100,5943.37,1.66844e+06
402,19642.8,6.66916e+06
81,5825.8,1.35735e+06
86,6664.44,1.43909e+06
82,5752.43,1.37208e+06
105,7285.75,1.75911e+06
137,8494.7,2.27886e+06
250,15560.5,4.14942e+06
107,7895.53,1.79391e+06
632,30703.6,1.0416e+07
223,12718.9,3.70345e+06
181,9092,3.04191e+06
157,10621.6,2.61651e+06
150,9937.77,2.48966e+06
195,13581,3.2437e+06
298,23985.6,4.93744e+06
253,14617.8,4.19457e+06
73,5406.8,1.22621e+06
504,23242.7,8.30051e+06
295,14380,4.92692e+06
457,23133.5,7.54095e+06
61,5047.2,1.02734e+06
239,12555.4,3.97407e+06
80,5687.82,1.34229e+06
261,13065.2,4.34813e+06
161,8498.08,2.6887e+06
72,5947.03,1.20761e+06
198,13738,3.31288e+06
108,6094.13,1.79881e+06
241,11520.6,4.0165e+06
486,24659.6,8.01497e+06
366,19627.5,6.03988e+06
234,14375.4,3.89403e+06
195,10292.4,3.35785e+06
139,9551.11,2.31715e+06
77,5752.3,1.29532e+06
107,8837.33,1.78613e+06
147,11618.9,2.45414e+06
316,19587.9,5.22363e+06
137,8696.85,2.29794e+06
124,10566.8,2.0703e+06
66,5659.06,1.11154e+06
168,10633,2.80028e+06
215,18040.1,3.58358e+06
