score,computational_cost,nb_calls
445,8761.44,2.26069e+06
161,2529.64,792860
282,5337.37,1.63641e+06
339,4748.44,1.58734e+06
254,4891.03,1.32283e+06
481,8185.67,2.61353e+06
222,3620.7,984559
535,10830.8,2.77186e+06
227,2849.25,979473
360,7723.12,1.88175e+06
646,10493.6,3.69662e+06
835,16930.9,5.3433e+06
139,2772.23,760338
237,3273.21,1.0417e+06
269,3655.02,1.15573e+06
464,7801.96,2.29612e+06
116,2954.04,662093
210,4547.68,1.17286e+06
245,3855.36,1.03972e+06
190,3593.74,1.03389e+06
121,2539.46,628974
230,3068.18,977851
348,8367.18,2.11361e+06
511,8561.12,2.66372e+06
385,5371.85,1.60134e+06
123,2735.57,695666
332,6614.36,1.89188e+06
234,6009.89,1.32475e+06
529,9466.62,2.65372e+06
248,3430.81,1.10912e+06
216,3188.63,978714
157,3405.04,921385
262,5423.96,1.55138e+06
746,9941.95,3.4624e+06
338,7081.68,1.71663e+06
120,2394.7,626902
526,7411.15,2.55271e+06
268,5426.19,1.722e+06
104,1503.88,445931
120,2549.49,610553
527,10153.8,2.68364e+06
374,6088.37,1.95628e+06
249,6158.81,1.43894e+06
449,10277.5,2.8198e+06
232,3825.55,1.2857e+06
335,6051.88,2.15017e+06
301,4123.07,1.43268e+06
197,3344.66,1.05683e+06
313,3399.29,1.31216e+06
180,5124.75,1.05876e+06
286,8294.66,1.73855e+06
207,5672.31,1.25567e+06
290,5429.34,1.5674e+06
442,5659.5,1.85456e+06
182,2586.06,911402
297,4959.86,1.46673e+06
290,4226.79,1.36892e+06
644,12910.8,4.00778e+06
121,2838.57,779376
566,7205.6,2.79108e+06
622,8519.43,3.0411e+06
126,2590.11,797924
385,9177.11,2.15346e+06
505,9748.16,2.63991e+06
289,6446.55,1.54267e+06
193,4490.34,1.05948e+06
115,2450.58,578456
280,5169.54,1.38553e+06
153,3768.43,929367
329,9714.71,1.94353e+06
239,4532.41,1.12107e+06
394,9194.67,2.11212e+06
425,5560.97,1.98967e+06
431,8535.33,2.35374e+06
488,8786.69,3.19408e+06
277,7173,1.62076e+06
168,4146.32,894420
168,2636.39,838768
132,3913.29,826918
180,3545.14,910137
198,4748.7,1.25459e+06
140,2039.94,630065
490,5428.15,2.07564e+06
342,5072.92,1.55288e+06
433,7184.44,2.17682e+06
171,5287.64,1.09353e+06
155,3710.86,843759
175,3600.24,891289
467,6192.05,2.15899e+06
1000,14803.5,5.40161e+06
428,8283.9,2.29079e+06
295,8148.84,1.80308e+06
325,5671.15,1.56681e+06
287,6955.79,1.55354e+06
386,6233.25,1.95604e+06
182,3827.08,908864
117,1908.18,561478
329,8561.7,1.93548e+06
624,9979.79,3.23898e+06
155,3908.18,922263
