score,computational_cost,nb_calls
144,2393.53,340077
136,2316,323995
477,7643.97,1.0655e+06
190,3145.72,427294
158,2562.67,358577
186,3100.62,455012
142,2368.6,330656
135,2251.53,336404
168,2888.93,397015
388,6449.1,874195
138,2225.9,317449
200,3337.8,452665
114,1928.33,275266
340,5438.29,788652
184,2983.65,410800
223,3655.79,517448
262,4189.64,597384
197,3281.77,488221
150,2366.66,341455
146,2439.46,336739
305,4757.32,692817
202,3322.77,458683
221,3762.29,569079
104,1758.82,252501
198,3213.17,468927
184,2981.75,450144
216,3393.49,486919
168,2919.51,409072
158,2734.83,389184
210,3498.04,474623
130,2188.83,309386
185,3037.11,430202
290,4829.37,679798
336,5740.9,786620
148,2379.12,348363
286,4766.02,663068
220,3692.6,499114
449,7427.79,1.07274e+06
162,2699.87,380800
518,8428.78,1.12734e+06
146,2532.95,369016
330,5416.24,775193
329,5241.49,781589
112,1812.57,265460
122,2075.73,297473
148,2454.78,333738
232,3760.62,537041
148,2562.46,356861
314,4974.26,672647
152,2556.04,347050
246,4122.93,567889
158,2687.78,369585
138,2342.33,337185
156,2509.63,353421
122,2021.15,288948
124,2047.67,293596
254,4059.36,605539
140,2306.24,318700
138,2333.86,329221
265,4531.09,602573
127,1945.97,288684
111,1827.89,255465
160,2652.5,392404
126,2099.26,290860
198,3184.39,436541
462,7436.25,1.04241e+06
242,4000.93,560988
222,3615.36,514355
152,2512.46,361096
180,2955.76,404663
180,3033.07,403505
262,4332.28,615982
194,3314.54,452093
290,4767.01,639565
118,1979.85,275205
110,1896.52,264377
276,4483.6,628091
164,2840.08,387688
176,2944.62,415834
156,2593.92,371691
96,1642.98,235223
535,8520.42,1.20318e+06
240,3800.47,533129
220,3581.05,482355
134,2291.81,322377
170,2871.4,400234
116,1940.89,266346
204,3493.3,488749
184,2989.65,447357
158,2540.94,341734
294,4882.28,714750
174,2835.39,380339
200,3303.7,469411
135,2313.97,342455
160,3252.84,373845
134,2748.15,326356
188,3619.09,437548
198,3464.11,466369
168,2802.15,387797
234,3886.09,550033
144,2351.25,337870
144,2456.56,348194
162,2708.73,392636
164,2635.43,381063
385,6222.01,893071
190,3102.01,441961
168,2962.25,376238
136,2782.59,327001
312,6039.15,660778
170,3359.11,385547
318,6137.49,688085
199,3591.28,476783
204,3369.05,492124
146,2486.01,353712
180,3037.14,421280
182,2967.4,409773
632,10300.9,1.48097e+06
216,3463.49,479311
172,2908.81,413647
235,3884.05,562637
238,3948.02,529180
156,2545.53,359556
180,2884.75,412377
104,1769.49,249981
157,2647.7,395289
198,3352.22,474399
239,3926.11,566384
154,2564.53,347673
272,4478.51,611256
143,2417.46,349246
120,2010.41,290227
112,1885.02,268956
202,3407.11,451241
222,3716.37,496660
225,3618.8,539313
164,2827.67,379227
126,1984.86,285984
82,1438.38,205115
128,2142.78,307949
253,4735.48,599100
220,4359.56,510534
160,3065.03,360508
192,3817.27,480091
179,3617.72,448797
114,2404.35,288273
340,5817.85,756682
106,1785.63,250245
178,3002.43,419324
162,2646.69,367625
186,3014.45,442528
96,1523.66,220128
126,2168.41,298683
198,3269.8,486105
220,3657.69,524430
116,1937.06,279605
202,3274.03,458356
126,2040.87,292118
403,6667.98,960778
148,2440.3,342245
222,3481.8,488967
244,3850.66,535596
157,2685.46,387584
140,2295.82,325504
320,5398.32,756270
245,3909.57,565654
92,1561.6,220613
170,2685.39,377732
134,2232.76,307309
106,1778.41,254164
118,2074.59,291496
296,4975.65,718445
122,1968.71,267506
145,2334.89,323166
146,2540.4,354232
108,2016.75,248584
164,3214.68,392857
104,2159.16,256177
383,7389.56,881409
142,2881.09,341640
210,4031.43,456225
130,2559.59,303568
116,2304.17,278108
260,4412.17,580501
114,1921.03,268949
218,3556.66,503366
188,3177.2,448997
156,2661.61,362233
202,3360.18,465113
140,2273.26,320309
180,2890.76,407588
156,2627.44,385312
124,2047.67,295067
262,4443.32,576589
277,4436.48,641773
180,3023.51,401951
96,1568.7,232046
202,3154.69,419893
238,3830.61,531046
166,2716.69,372261
252,4077.85,556652
260,4291.61,592105
158,2720.39,379765
192,3100.56,425993
328,5445.21,767738
150,2536.57,361104
184,2980.9,430630
200,3339.04,484513
142,2356.13,326603
148,2580.58,339110
162,2664.95,366347
172,2914.84,403696
231,3704.64,514506
198,3431.84,481664
92,1636.27,228417
106,1767.23,246490
255,4088.38,586416
152,2574.74,356932
186,2998.17,435935
224,3574.27,492125
170,2904.42,410926
222,3734.17,530423
1000,16130.2,2.25944e+06
114,1871.7,266437
218,3521.64,473479
168,2737.01,411927
187,3159.89,447445
319,5244.32,779399
142,2372.79,345444
200,3197.36,463145
194,3193.69,458593
202,3304.46,484765
196,3188.41,441511
128,2100.25,289211
300,5010.8,729433
174,3028.87,402102
175,2909.46,434920
114,1817.28,258533
164,2744.07,394640
146,2462.7,365851
298,4900.66,686544
294,4838.79,666943
122,2028.6,297763
189,3117.56,434532
174,2853.99,403360
280,4539.68,654929
178,2904.21,413595
160,2602.36,386249
348,5489.99,779484
250,4053.02,574684
110,1849.39,267666
90,1517.31,216398
174,2984.44,416449
208,3425.62,465776
170,2902.66,404302
186,3078.22,416444
134,2298.57,333906
110,1765.84,241746
122,2094.65,285146
280,4473.43,624521
144,2411.1,335886
118,2078.25,294228
167,2785.05,385643
186,3067.11,416866
144,2415.73,334045
254,4286.23,593459
173,2860.99,437827
154,2503.98,339612
142,2401.79,331686
114,1958.17,277083
174,2888.78,408970
228,3726.12,514768
130,2113.72,296292
155,2513.19,366630
168,2816.18,387480
230,3824.11,548409
166,2757.9,407498
214,3381.39,500375
270,4413.24,630100
144,2355.02,335445
368,6185.06,931392
245,3996.26,594282
134,2276.79,312290
102,1691.94,241387
176,2726.6,376801
146,2550.23,357196
192,3375.54,443221
138,2265.75,326178
154,2598.23,370514
176,2932.19,401238
242,3828.99,557054
218,3680.06,486789
114,1790.09,246819
134,2180.29,297934
210,3446.92,487110
168,2814.32,399556
254,5140.64,584956
262,4774.95,561878
186,3771.03,437147
142,2711.5,314494
222,4168.34,515725
206,4052.11,460589
94,1948.14,228069
334,6769.59,772461
224,4272.51,492785
162,3114.88,387444
274,5107.53,605636
100,2087.74,249988
252,4734.37,555897
212,4120.98,485007
369,6814.41,796114
72,1384,167635
199,3903.96,456605
234,4460.62,547331
112,2301.35,281244
180,3413.69,415528
142,2769.93,326335
451,8637.17,1.0239e+06
158,3226.82,382024
214,4121.81,478618
294,5736.3,667851
242,4650.22,549750
116,2343.45,277713
