score,computational_cost,nb_calls
198,3134.96,578876
209,3333.8,617596
238,3765.89,703808
618,9664.44,1.8503e+06
409,6440.22,1.22345e+06
939,14891.3,2.6791e+06
196,3106.77,578770
221,3505.71,654903
229,3622.45,676890
514,8143.62,1.50032e+06
182,2890.74,540059
1000,15871.2,2.86655e+06
202,3184,602319
565,9034.89,1.59753e+06
403,6437.99,1.13679e+06
292,4584.66,886033
352,5605.02,1.03056e+06
183,2961.43,518190
357,5543.05,1.09189e+06
516,8193.02,1.48528e+06
208,3371.41,599390
773,12127,2.25773e+06
521,8285.38,1.50555e+06
464,7370.1,1.3463e+06
356,5587.68,1.05422e+06
322,5133.4,937255
330,5224.94,964011
197,3092.49,601915
396,6390.14,1.11922e+06
200,3214.44,574841
483,7594,1.43624e+06
310,4977.45,865954
886,14061.2,2.55071e+06
540,8521.62,1.57898e+06
485,7788.31,1.37718e+06
336,5298.86,990656
1000,15901.8,2.84862e+06
173,2746.25,508183
265,4241.63,767272
534,8445.5,1.55029e+06
243,3840.96,734806
306,4780.54,914571
420,6743.65,1.20077e+06
547,8571.56,1.65426e+06
269,4272.94,781722
468,7621.84,1.28406e+06
450,7144.85,1.25037e+06
354,5565.87,1.04713e+06
238,3835.98,691363
200,3176.27,600872
695,11020.4,1.99092e+06
423,6660.95,1.25336e+06
482,7655.56,1.38114e+06
506,8149.64,1.44234e+06
346,5483.64,1.02714e+06
246,3924.68,720203
264,4235.22,762739
189,3024.54,554255
518,8196.09,1.47275e+06
678,10917,1.87641e+06
418,6590.42,1.24366e+06
641,10077.1,1.9128e+06
303,4828.13,890682
469,7362.87,1.40173e+06
560,8893.04,1.62359e+06
226,3529.54,671661
793,12429.1,2.36131e+06
298,4746.57,854114
384,6128.15,1.09817e+06
252,4090.31,730367
452,7273.14,1.3028e+06
438,6998.06,1.23603e+06
361,5741.55,1.05544e+06
484,7679.12,1.39971e+06
310,4881.83,923925
536,8440.24,1.55469e+06
329,5163.86,985244
168,2652.57,496655
244,3902.36,688383
219,3458.77,651129
328,5309.17,920845
152,2429.28,451500
384,6114.85,1.12661e+06
443,6995.68,1.30584e+06
229,3607.21,682825
390,6227.87,1.12991e+06
458,7328.35,1.28199e+06
332,5251.93,972490
394,6315.96,1.15204e+06
253,4061.08,738487
300,4873.2,851817
469,7358.44,1.39163e+06
255,3979.45,764262
258,4094.97,761678
314,4999.29,906321
462,7270.48,1.363e+06
641,10257.2,1.84481e+06
392,6156,1.16534e+06
518,8180.08,1.543e+06
242,3818.36,718612
374,5890.17,1.09385e+06
378,5997.97,1.10524e+06
434,6871.46,1.27091e+06
400,6300.96,1.17791e+06
488,7855.37,1.3936e+06
254,4018.61,750170
566,9069.14,1.61154e+06
566,8938.88,1.63613e+06
315,5030.1,909211
318,4970.88,942447
280,4450.97,812776
226,3616.82,651433
238,3746.4,704019
976,16019.1,2.69789e+06
446,7272.65,1.23551e+06
208,3304.22,618867
1000,15743.5,2.94407e+06
257,4092.08,769592
746,12212.7,2.06255e+06
217,3405.57,662289
313,5019.37,930818
164,2633.08,471796
371,5993.33,1.06375e+06
445,6977.88,1.34925e+06
352,5652.47,973892
1000,15774.4,2.95585e+06
454,7063.6,1.3817e+06
261,4215.58,754485
539,8472.78,1.6024e+06
474,7535.5,1.36204e+06
236,3725.34,690611
364,5949.3,1.01496e+06
516,8241.1,1.49403e+06
321,5018.85,985829
448,7115.76,1.28485e+06
264,4212.15,754235
227,3649.79,658064
497,7778.2,1.50693e+06
479,7650.76,1.38082e+06
232,3677.37,688132
838,13515,2.3318e+06
472,7558.34,1.33502e+06
947,15028.5,2.72401e+06
290,4729.32,819999
195,3072.78,574980
306,4784.49,918260
130,2073.33,380363
186,2992.92,535446
407,6476.11,1.17188e+06
344,5466.76,977604
1000,15849.8,2.88203e+06
282,4516.89,794470
543,8628.84,1.61863e+06
252,4066.26,737827
242,3856.73,703123
457,7168.13,1.35445e+06
338,5423.72,963870
326,5422.55,939637
593,9208.13,1.79021e+06
427,6793.69,1.26335e+06
334,5395.88,933868
338,5367.72,1.00246e+06
324,5190.05,943775
418,6760.74,1.16964e+06
326,5215.63,922800
1000,15797,2.91419e+06
328,5209.13,959486
334,5307.15,977816
224,3578.72,638490
495,7780.53,1.46318e+06
534,8444.86,1.55832e+06
228,3612.12,678536
236,3778.58,678734
232,3672.04,667150
283,4517.69,836821
384,6263.91,1.0896e+06
1000,15956.3,2.81428e+06
330,5197.6,971054
328,5224.02,944304
252,3990.42,756699
220,3464.51,665802
260,4129.07,765586
179,2838.43,524961
374,5918.15,1.08699e+06
463,7420.43,1.31111e+06
361,5680.06,1.07479e+06
375,5918.96,1.08316e+06
1000,15574.7,3.00816e+06
362,5705.56,1.06614e+06
475,7528.53,1.36972e+06
618,9932.03,1.70742e+06
218,3480.81,631031
208,3359.39,592953
278,4390.84,840103
426,6684.88,1.29407e+06
122,1943.55,358181
407,6390.82,1.20253e+06
170,2714.22,489990
282,4439.57,846741
1000,15774.7,2.94658e+06
296,4729.11,864429
474,7501.72,1.39962e+06
705,11279.5,1.95498e+06
640,10350.6,1.82602e+06
188,3003.92,546134
462,7326.69,1.33373e+06
657,10370.9,1.93992e+06
381,6024.38,1.12661e+06
378,6061.47,1.07542e+06
456,7265.94,1.28949e+06
213,3347.82,649713
465,7519.62,1.32164e+06
206,3284.07,612986
285,4530.62,824962
326,5204.98,950258
256,4115.14,746569
779,12275.6,2.28486e+06
732,11697.5,2.09372e+06
274,4370.95,799847
292,4644.98,852038
585,9370.48,1.70028e+06
641,9973.35,1.93606e+06
407,6464.07,1.20241e+06
226,3576.26,658028
529,8335.01,1.53699e+06
405,6503.08,1.12532e+06
388,6121.18,1.15082e+06
218,3499.24,615095
740,11806.2,2.11022e+06
330,5280.47,940366
461,7292.76,1.33372e+06
682,10858.5,1.96201e+06
270,4272.35,785610
1000,15774.9,2.8944e+06
693,11057.4,1.96356e+06
1000,15810.2,2.95694e+06
325,5038.98,997916
215,3334.91,659270
359,5575.23,1.09033e+06
545,8886.17,1.49228e+06
385,6084.22,1.16537e+06
325,5118.42,942915
324,5192.2,908695
557,8872.84,1.56045e+06
222,3531.15,635154
124,1967.97,366685
394,6298.08,1.14435e+06
212,3394.58,610333
538,8433.94,1.61244e+06
295,4641.1,890057
719,11389.3,2.10551e+06
336,5373.85,978876
409,6505.34,1.16398e+06
388,6137.71,1.14589e+06
274,4369.73,810132
270,4371.69,755730
861,13623.9,2.53897e+06
282,4485.22,816935
719,11548.5,2.00037e+06
838,13384,2.40207e+06
831,13040.3,2.47135e+06
1000,15939.9,2.7481e+06
320,5116.77,920085
393,6223.9,1.15848e+06
314,5125.74,889381
424,6866.84,1.21383e+06
871,13921.9,2.45846e+06
593,9461.66,1.72223e+06
485,7658.24,1.44548e+06
351,5474.44,1.06157e+06
432,6883.49,1.23148e+06
257,4027.85,774400
333,5245.51,992919
317,4946.08,961950
280,4491.29,812526
314,5042.75,893747
150,2400.54,448504
310,4854.12,930145
244,3892.55,693947
224,3546.02,636051
130,2068.96,385864
350,5580.92,996945
338,5479.71,958622
150,2360.2,447822
514,8097.08,1.54415e+06
318,5093.38,931468
465,7353.66,1.36034e+06
396,6226.57,1.16985e+06
412,6508.02,1.19354e+06
305,4786.91,918973
292,4699.97,831125
245,3852.48,742162
1000,15874.9,2.85434e+06
1000,15922.8,2.8612e+06
340,5442.03,965662
302,4843.46,859300
230,3639.2,692379
422,6802.32,1.20167e+06
625,9797.79,1.88366e+06
483,7761.56,1.39254e+06
424,6710.21,1.23196e+06
477,7439.1,1.44897e+06
276,4386.41,813150
226,3638.03,656356
1000,15967.8,2.81508e+06
713,11524.9,2.01151e+06
464,7284.41,1.39046e+06
477,7589.07,1.38913e+06
503,8065.14,1.42909e+06
160,2535.64,468992
504,7893.66,1.50302e+06
344,5503.77,1.00569e+06
278,4458.78,804441
303,4818.59,918208
258,4096.89,737106
604,9629.03,1.78773e+06
186,2961.57,542368
248,3939.55,731947
355,5769.6,981013
342,5465.78,965591
337,5286.72,1.00862e+06
427,6691.83,1.2881e+06
455,7234.56,1.32646e+06
376,5916.66,1.09e+06
428,6774.96,1.25507e+06
1000,16161.7,2.7268e+06
475,7591.66,1.3633e+06
917,14495.9,2.64522e+06
647,10138.8,1.93093e+06
1000,15794.1,2.84239e+06
247,3942.05,735851
875,14175.7,2.40175e+06
720,11391.8,2.11497e+06
359,5621.62,1.09503e+06
527,8421.31,1.52663e+06
558,9000.89,1.52764e+06
337,5256.6,1.03011e+06
391,6144.44,1.16575e+06
365,5729.73,1.08105e+06
549,8547.2,1.68732e+06
183,2908.31,549565
217,3406.49,648989
279,4390.51,837896
346,5436.25,1.02701e+06
659,10419.3,1.92362e+06
602,9462.53,1.78201e+06
302,4767.76,870689
473,7544.7,1.3904e+06
772,12472.2,2.13344e+06
700,11076.7,2.05702e+06
559,8777.08,1.66748e+06
854,13892.2,2.36219e+06
250,3919.7,752370
470,7514.92,1.34886e+06
240,3805.28,718691
1000,15886.7,2.8852e+06
195,3067.39,575786
268,4283.08,766327
364,5656.48,1.09674e+06
1000,15992.2,2.81441e+06
529,8475.17,1.56705e+06
412,6510.29,1.21315e+06
286,4561.95,810950
256,4090.3,736012
505,8052.01,1.47343e+06
212,3391.28,609074
1000,15757,2.90902e+06
331,5249.19,975920
821,13220.4,2.37951e+06
708,11246.5,2.04973e+06
426,6971.96,1.20241e+06
284,4519.5,821943
391,6210.73,1.13311e+06
336,5386.22,945821
313,4868.68,960233
379,6040.41,1.10931e+06
333,5263.45,999931
440,7025.62,1.2569e+06
210,3345.67,615211
252,4000.2,745508
475,7393.85,1.44266e+06
144,2308.43,415582
552,8740.24,1.5962e+06
313,5010.65,895891
472,7551.67,1.35843e+06
773,12471.3,2.12532e+06
331,5149.9,1.01179e+06
728,11389.8,2.15741e+06
569,8947.14,1.6522e+06
554,8804.22,1.61526e+06
368,5708.2,1.09356e+06
547,8609.23,1.59151e+06
200,3151.75,584326
385,6148.34,1.11968e+06
310,4894.46,907927
659,10371.9,1.92299e+06
198,3162.91,580569
829,13173.4,2.37479e+06
359,5731.49,1.06399e+06
490,7819.4,1.42052e+06
300,4733.85,882328
300,4727.61,896989
343,5431.12,1.00287e+06
557,8662.41,1.70915e+06
608,9629.86,1.75309e+06
294,4626.65,877280
379,6041.09,1.11548e+06
255,3936.2,770158
206,3280.4,594317
923,14498.3,2.68764e+06
949,15122.2,2.78926e+06
519,8178.34,1.50504e+06
293,4650.61,852811
346,5556.35,975588
400,6408.36,1.1383e+06
580,9235.89,1.68693e+06
1000,15947.5,2.84896e+06
539,8492.27,1.60112e+06
969,15499.6,2.77832e+06
911,14361.8,2.66603e+06
382,6097.61,1.09972e+06
514,8187.17,1.47239e+06
346,5572.09,944221
434,7202.36,1.18296e+06
398,6272.1,1.18456e+06
298,4812.37,846838
370,5906.57,1.06227e+06
250,3932.06,738133
425,6814.01,1.22459e+06
354,5785.3,973138
632,10011,1.81715e+06
273,4285.17,838346
310,5018.19,863931
300,4768.2,890593
355,5601.75,1.05855e+06
1000,15785,2.89515e+06
252,3985.43,731551
458,7216.15,1.36017e+06
136,2166.25,409170
533,8472.65,1.53924e+06
367,5740.96,1.08927e+06
576,9203.41,1.6853e+06
327,5219.06,916939
210,3361.52,593079
577,9329.92,1.58481e+06
398,6360.6,1.12888e+06
357,5656.61,1.04078e+06
462,7207.97,1.41111e+06
353,5615.87,1.02466e+06
246,3967.59,699215
322,5094.68,943783
675,10537.6,2.03382e+06
300,4781.83,877637
359,5575.89,1.07957e+06
130,2074.7,378520
388,6110.33,1.13843e+06
348,5593.25,990949
441,7037.15,1.27804e+06
338,5332.73,1.03142e+06
541,8622.26,1.56123e+06
497,7787.39,1.48685e+06
395,6316.76,1.14632e+06
557,8745.34,1.67926e+06
192,3047.63,558536
234,3772.54,682458
659,10263.8,1.99236e+06
377,5875.76,1.15795e+06
140,2241.59,400824
1000,15779.3,2.8966e+06
328,5213.14,954552
555,8833.56,1.61913e+06
452,7210.83,1.30032e+06
509,8001.79,1.49951e+06
175,2732.86,543087
377,5970.36,1.10783e+06
214,3340.56,655980
348,5519.12,1.01285e+06
340,5381.78,1.01075e+06
383,6088.54,1.11655e+06
390,6161.07,1.15742e+06
1000,15557.6,3.01844e+06
274,4385.95,775497
242,3864.38,705374
1000,16073.2,2.75799e+06
233,3723.51,667896
631,10328.2,1.70756e+06
173,2723.83,524007
347,5542.98,1.00675e+06
445,6959.75,1.31515e+06
273,4270.23,823821
401,6309.51,1.20231e+06
508,8089.07,1.453e+06
252,4004.85,749433
220,3518.16,638982
968,15710.5,2.61492e+06
212,3401.47,609765
246,3977.11,716526
388,6188.84,1.14039e+06
276,4363.37,808976
206,3265.05,608605
547,8580.94,1.60962e+06
699,11140,1.96632e+06
493,7693.05,1.48192e+06
280,4470.23,837072
462,7296.2,1.35059e+06
951,14801.7,2.8783e+06
352,5593.68,1.02113e+06
242,3817.9,731165
548,8597.5,1.67127e+06
246,3887.98,731828
280,4396.64,842918
240,3779.47,694044
293,4599.29,875321
324,5221.92,921002
415,6536.77,1.22874e+06
649,10341,1.87336e+06
271,4296.73,787755
240,3809.59,688952
288,4615.88,839568
302,4842.16,868467
335,5257.96,1.008e+06
250,3983.41,709744
252,4067.36,723610
464,7415.1,1.338e+06
288,4538.42,854927
1000,15769.6,2.91418e+06
455,7155.79,1.32669e+06
268,4251.84,797694
322,5117.94,942126
498,7878.86,1.45194e+06
338,5336.25,992611
279,4380.56,850653
311,4981.64,897663
442,7027.3,1.31156e+06
296,4691.23,864389
322,5157.34,924890
214,3384.35,645405
379,5969.03,1.15983e+06
234,3769.17,674509
210,3329.84,632319
829,13017.4,2.46058e+06
1000,15654.2,2.91752e+06
342,5494.03,970793
322,5106.27,959056
264,4243.88,744279
705,11161.3,2.04619e+06
337,5341.41,983209
391,6201.24,1.13052e+06
248,3958.5,727896
154,2439.24,459428
508,8110.7,1.45715e+06
1000,15927.9,2.91287e+06
262,4207.2,749322
475,7431.64,1.43006e+06
638,10167.1,1.8096e+06
264,4259.26,758068
613,9699.7,1.76276e+06
348,5501.33,1.02016e+06
403,6452.27,1.18557e+06
517,8095.67,1.54728e+06
236,3764.04,689933
728,11514.8,2.14627e+06
136,2169.37,396467
390,6351.79,1.0896e+06
1000,16091,2.79016e+06
637,10158.3,1.86078e+06
878,13915.8,2.49713e+06
561,8692.22,1.70937e+06
310,4908.82,892910
786,12592,2.22166e+06
511,7921.12,1.53809e+06
208,3318.36,605024
636,10099,1.81282e+06
244,3865.76,710418
354,5597.31,1.05307e+06
268,4256.68,800415
319,5049.99,960699
488,7895.13,1.35536e+06
379,6021.08,1.10254e+06
228,3597.84,674461
340,5356.02,982223
353,5525.26,1.07656e+06
484,7690.01,1.41813e+06
919,14407.9,2.71936e+06
278,4424.13,820480
295,4673.66,885536
193,3054.01,567299
1000,15874.9,2.87368e+06
264,4190.93,781909
227,3582.32,685122
413,6446.46,1.24342e+06
606,9649.34,1.7665e+06
523,8429.08,1.49037e+06
645,10231.3,1.84959e+06
386,6054.53,1.14245e+06
434,6932.91,1.23787e+06
304,4768.45,899033
901,14423.8,2.54371e+06
358,5736.9,1.01594e+06
270,4332.64,778805
403,6400.21,1.14754e+06
415,6494.93,1.22353e+06
234,3727.95,678973
232,3726.95,672718
479,7472.55,1.41274e+06
500,7890.49,1.4828e+06
186,2956.19,535349
408,6594.88,1.1597e+06
971,15341,2.78091e+06
434,6896.46,1.24835e+06
406,6430.79,1.19252e+06
394,6272.66,1.11458e+06
1000,16084.5,2.77485e+06
585,9304.5,1.70093e+06
312,4959.33,911716
344,5447.35,1.01395e+06
280,4522.27,794288
484,7684.77,1.39917e+06
483,7733.65,1.38578e+06
937,14800.9,2.71146e+06
244,3884.07,689417
374,5929.91,1.08771e+06
621,9703.75,1.84552e+06
845,13390.1,2.4746e+06
361,5696.99,1.08851e+06
503,7904.67,1.50966e+06
865,13714.6,2.5051e+06
242,3879.81,684690
428,6761.36,1.27185e+06
577,9102.33,1.67263e+06
554,8907.37,1.57866e+06
534,8309.08,1.60891e+06
1000,16192.8,2.7446e+06
350,5495.27,1.04025e+06
744,12153.2,2.02945e+06
353,5552.55,1.07774e+06
307,4788.64,932396
365,5697.14,1.10228e+06
401,6326.81,1.18905e+06
248,3943.64,721533
322,5110.81,931489
441,6862.88,1.3421e+06
316,5065.73,911052
374,6111.49,1.03972e+06
420,6592.07,1.2343e+06
152,2419.58,443163
267,4336.84,771733
302,5054.72,859450
292,4724.36,844177
235,4092.4,722105
368,6257.21,1.08917e+06
237,4409.32,683120
327,5522.74,999995
391,6339.38,1.14314e+06
239,3984.36,708810
304,5103.15,875992
230,3694.69,705748
280,4523.69,823538
402,6808.65,1.13902e+06
284,4559.7,825912
454,7638.76,1.27846e+06
358,5898.44,1.0808e+06
278,4605.04,836237
443,7392.22,1.31722e+06
917,15264.7,2.60824e+06
256,4214.55,735162
847,14292.8,2.3117e+06
364,5981.2,1.04254e+06
468,8178.66,1.36434e+06
364,6138.26,1.05532e+06
252,4096.57,724543
336,5887.23,1.00122e+06
402,6715.66,1.11403e+06
299,4816.68,889942
233,3901.89,692346
460,7816.06,1.34508e+06
286,4577.2,846022
212,3465.64,612507
365,6143.85,1.06354e+06
198,3152.89,591841
410,7043.41,1.17992e+06
713,11347.8,2.18779e+06
184,3264.09,547392
720,11989.9,2.07801e+06
443,7402.76,1.3377e+06
506,8200.54,1.48915e+06
564,9604.23,1.6077e+06
453,7892.14,1.32096e+06
230,3667.74,678609
266,4243.36,764728
524,8592.01,1.51317e+06
336,5666.73,954613
189,3081.38,557710
295,5016.42,880426
836,13622.3,2.4276e+06
337,5731.18,965091
1000,16813.2,2.87482e+06
552,9587.09,1.63712e+06
236,4062.04,682264
298,4790.12,854472
228,3696.36,646232
152,2442.31,457486
517,9021.71,1.51265e+06
142,2288,411898
462,7827.9,1.31732e+06
523,9051.89,1.5404e+06
545,8947.28,1.6078e+06
194,3240.24,591391
482,8543.02,1.3775e+06
276,4431.85,826113
310,5326.66,878338
595,10347.3,1.70642e+06
410,6590.35,1.1776e+06
361,5818.69,1.06127e+06
630,10455.7,1.85286e+06
234,3812.99,665012
292,5229.32,832060
373,6069.26,1.12222e+06
396,6445.66,1.12939e+06
331,5351.64,950992
235,4192.05,693515
402,6945.62,1.1776e+06
492,8298.62,1.38371e+06
337,5367.33,1.02268e+06
492,8539.21,1.38102e+06
302,4953.11,921478
662,11239.7,1.93377e+06
736,12163.7,2.09927e+06
453,7202.13,1.35434e+06
352,5682.6,1.03801e+06
233,3732.74,698792
815,13198.6,2.28146e+06
763,12412.6,2.2748e+06
753,12279.1,2.28065e+06
458,7731.94,1.2799e+06
221,3567.02,628362
328,5280.32,972118
386,6319.62,1.10736e+06
959,15870.5,2.83984e+06
351,6092.3,1.04302e+06
260,4821.48,742635
1000,16871.4,2.7994e+06
218,3462.82,630611
232,3720.51,669576
277,4529.27,808327
374,6595.62,1.04459e+06
309,5307.02,899451
963,15739.2,2.87535e+06
142,2292.05,424640
596,9769.87,1.81528e+06
246,4199.45,717459
179,3168.87,540914
184,3197.1,522986
334,6135.41,966855
456,7836.42,1.25775e+06
364,6286.77,1.06288e+06
562,8991.74,1.66883e+06
243,3924.28,705901
326,5630.62,923161
502,8557.36,1.42102e+06
248,4085.69,724907
476,7872.61,1.3557e+06
265,4721.35,784813
345,6018.1,1.00995e+06
391,6936.84,1.13564e+06
587,9674.09,1.67355e+06
258,4117.43,761499
232,3752.96,659536
236,3750.26,684055
916,15412.7,2.52865e+06
967,16023.6,2.69578e+06
743,11879.7,2.21417e+06
237,3809.77,710564
1000,16796.3,2.71264e+06
561,9023.89,1.65123e+06
869,14576.9,2.59516e+06
580,9445.99,1.68534e+06
256,4013.35,767638
540,9140.07,1.58961e+06
332,5313.29,983064
164,2652.11,467322
200,3226.8,578284
282,4917.83,815243
198,3229.68,561626
266,4375.36,787427
350,6455.66,997040
778,13143.9,2.20248e+06
360,6328.13,1.00607e+06
391,6736.81,1.14634e+06
259,4101.8,769290
1000,17052.4,2.79735e+06
310,5192.68,884490
367,6744.8,1.02457e+06
432,7699.49,1.25301e+06
435,6980.77,1.30374e+06
1000,17315.6,2.83834e+06
270,4818.78,761736
308,5135.18,894853
560,9063.5,1.632e+06
302,5197.93,869943
466,7755.57,1.37478e+06
365,6453.67,1.06639e+06
912,15792,2.56864e+06
228,3627,681556
586,9311.36,1.73862e+06
806,13067.7,2.29302e+06
638,10468.9,1.83671e+06
480,7776.37,1.37755e+06
198,3137.43,595009
290,4713.68,860939
1000,16159.1,2.90934e+06
326,5505.04,966070
356,5704.07,1.05207e+06
298,4811.94,877513
711,11837.2,2.03286e+06
520,8401.01,1.49114e+06
1000,16644.5,2.87128e+06
444,7327.35,1.32985e+06
315,5628.19,950212
448,7395.29,1.27678e+06
196,3245.46,570101
1000,16585.7,2.86699e+06
378,6054.97,1.08934e+06
442,7500.51,1.24978e+06
202,3673.54,605976
328,5803.44,936833
342,5979.42,966753
653,11481.7,1.88994e+06
291,4793.24,833183
734,12217.1,2.12271e+06
256,4593.08,757977
1000,17278.6,2.95967e+06
319,5381.72,953179
245,4332.13,732022
387,6601.93,1.13313e+06
358,5732.09,1.05466e+06
571,9201.32,1.66556e+06
254,4050.4,749985
551,9130.01,1.57454e+06
286,4630.76,819706
254,4049.13,759822
408,7090.75,1.12662e+06
182,3029.8,534709
353,5707.08,1.01172e+06
485,7693.26,1.45476e+06
527,8482.48,1.51201e+06
823,13095.6,2.40736e+06
1000,16745,3.01759e+06
355,5949.8,1.09093e+06
356,5810.08,1.02504e+06
297,5501.86,874972
172,2867.11,514602
820,13652.1,2.27948e+06
346,5543.22,1.00405e+06
424,6869.69,1.27196e+06
321,5165.03,953109
286,5083.4,830910
774,12816.5,2.24561e+06
366,5869.29,1.06051e+06
226,3550.16,682576
580,9489.35,1.6588e+06
660,11190.4,1.84181e+06
199,3128.08,603722
473,7545.6,1.3886e+06
272,4879.75,765670
522,9225.85,1.47692e+06
486,7694.05,1.47291e+06
218,3545.17,631758
494,8081.61,1.42501e+06
397,6812.13,1.16494e+06
326,5804.34,953724
279,4686.91,854414
641,10297.4,1.8644e+06
296,4827.43,881197
296,4757.35,868247
246,4167.05,722899
194,3418.1,564416
267,4518.84,787900
376,6717.61,1.07514e+06
509,8094.2,1.4859e+06
338,5471.09,983289
396,6739.51,1.19682e+06
228,4017.97,652358
448,7154.85,1.32174e+06
228,3607.11,670620
517,8584.08,1.51444e+06
418,6754.44,1.17377e+06
191,3105.71,575457
244,4010.14,701012
394,6635.21,1.0878e+06
248,4002.13,703884
230,3663.03,692128
454,7654.22,1.32395e+06
645,10357,1.85704e+06
1000,16462.1,2.92781e+06
291,4632.74,872295
812,14057.8,2.28371e+06
223,3590.28,681946
152,2440.37,452557
783,12938.4,2.2551e+06
250,3966.94,733360
320,5150.19,941093
211,3305.05,642869
344,5739.3,1.01491e+06
194,3284.67,561516
178,3036.1,525197
354,5681.88,1.02336e+06
1000,16393,2.93123e+06
296,4754.9,855645
987,16153.7,2.90986e+06
320,5142.56,960059
1000,17053.6,2.80926e+06
398,6973.43,1.13698e+06
1000,16341.7,2.95505e+06
208,3655.26,613757
321,5336.75,974849
286,4690.55,813184
541,9322.52,1.64048e+06
306,4913.85,903679
278,4511.59,831782
333,5640.97,1.0062e+06
1000,16818.4,2.96298e+06
383,6390.62,1.11034e+06
793,13323.5,2.24846e+06
531,9361.23,1.60866e+06
375,6179.31,1.10873e+06
541,8488,1.60333e+06
306,4994.96,869668
397,6231.82,1.2104e+06
360,5880.25,1.06834e+06
346,5665.5,944816
507,8498.47,1.52399e+06
352,5706.31,1.03464e+06
453,7305.77,1.33478e+06
416,6690.66,1.18746e+06
450,7232.77,1.30575e+06
644,11198.8,1.85951e+06
350,5545.95,1.07076e+06
270,4626.06,810747
292,4716.64,853191
214,3787.97,636724
288,4667.14,830718
398,6486.52,1.11444e+06
290,5183.07,845907
407,6847.98,1.21259e+06
1000,16161.6,2.79965e+06
1000,16606.2,2.75924e+06
296,4725.13,871083
742,12046.8,2.14184e+06
375,6472.75,1.11705e+06
288,4565.83,846432
729,11654.9,2.13942e+06
488,8323.51,1.39049e+06
741,11704.2,2.21308e+06
1000,15878,2.9013e+06
222,3585.69,658272
568,9222.09,1.55702e+06
328,5247.25,966918
481,7539.18,1.44753e+06
347,5479.05,1.04459e+06
314,5024.78,915657
274,4368.24,790289
442,7173.27,1.24477e+06
270,4321.68,766082
257,4127.64,739561
257,4490.76,755404
360,6534.36,1.0471e+06
176,2863.45,508474
1000,16546.5,2.77868e+06
326,5095.63,975151
244,3918.72,696594
312,5311.53,891248
545,8705.06,1.60329e+06
226,3617.27,673185
329,5343.21,949247
419,6771.33,1.27585e+06
298,4891.18,859137
459,7341.34,1.34551e+06
225,3576.33,683363
360,5828.6,1.03882e+06
351,5644.86,1.03823e+06
1000,15859.3,2.88875e+06
230,3644.3,675706
814,14040.4,2.25573e+06
201,3359.79,589682
252,3999.58,728591
576,9431.18,1.66314e+06
411,6479.22,1.22915e+06
318,5154.1,909665
196,3092.23,593199
394,6784.58,1.14178e+06
225,3595.83,659636
162,2614.43,473040
207,3268.71,640269
296,5080.24,855458
354,5700.61,1.05272e+06
377,5965.37,1.12774e+06
354,5682.24,1.02294e+06
314,5370.86,890310
474,7840.86,1.37545e+06
