score,computational_cost,nb_calls
192,1472.02,187902
356,2342.97,289070
241,1419.32,195816
306,1771.54,223158
695,10276.6,596201
687,4522.62,599478
580,4118.89,501993
498,3388.78,408434
1000,8123.55,927347
290,1836.11,227581
376,2408.83,297855
183,1079.1,137330
230,1440.78,187971
236,1377.89,178559
429,2650.27,342907
824,5250.46,708721
436,2526.39,324637
390,2386.87,319665
166,932.478,122428
327,1950.24,258897
492,3018.7,380332
328,1885.93,246525
260,1586.41,200444
228,1273.86,166517
236,1375.66,181581
189,1127.61,145773
272,1552.27,195425
236,1509.13,186421
423,2805.47,349536
438,2882.14,361468
677,4729.76,585901
643,4018.33,527809
1000,28270.2,954569
267,1570.11,206551
498,3402.42,430128
998,7544.23,925144
353,2130.06,276864
408,2486.98,325691
234,1371.13,175570
302,1821.77,224902
1000,7794.33,960137
414,2591.61,340435
454,3128.69,386571
338,2088.46,280110
376,2238.27,300333
292,1630.66,212188
256,1468.74,200048
310,2049.59,258016
445,2585.3,332097
394,2632.87,331453
403,2572.52,321375
311,1869.92,256108
257,1458.35,194989
436,2751.03,351641
427,2546.8,337947
446,2961.75,367514
222,1210.02,161336
644,4143.69,532708
276,1620.63,204164
485,3133.18,417453
272,1632.47,213627
165,960.77,128933
385,2265.17,286716
297,1706.59,227604
497,3416.64,450389
154,862.836,111731
568,4055.45,482742
196,1147.19,146763
328,1953.7,256126
284,1728.85,219533
438,2810.44,355334
321,2184.28,293756
396,2391.42,299870
190,1073.95,142541
226,1429.37,180596
232,1270.53,161023
280,1676.88,209724
444,2796.01,343883
1000,32769.7,984791
453,2793.81,371466
479,2947.06,375563
562,3340.2,432895
310,2011.53,245945
244,1359.85,170995
292,1636.31,216566
283,1659.92,208370
236,1390.33,175541
241,1447.58,190082
277,1660.42,213051
275,1552.57,207390
344,2011.07,253107
337,2040,259038
290,1775.52,239844
298,1600.08,214001
366,2146.55,272914
306,1767.11,229975
414,2722.18,337989
356,2113.85,275612
373,2076.09,276320
354,2369.13,286380
455,2915.33,384606
350,2042.38,261406
364,2152.47,276951
300,1826.74,232042
479,2904.08,381360
751,5241.84,659612
162,919.072,122963
398,2458.78,313711
1000,7846.11,890087
232,1370.47,169871
286,1941.56,228823
166,892.336,120607
208,1096.51,141610
276,1564.52,204366
420,2945.71,369242
269,1751.92,228551
285,1707.25,227404
342,2072.93,263125
347,2277.35,294887
248,1386.55,181921
388,2490.69,297814
290,1664.47,213240
224,1327.84,169205
1000,20482.8,928428
706,5093.5,591076
390,2396.61,312157
382,2337.5,284854
180,1099.61,136924
338,2019.76,250118
275,1635.88,208633
284,1722.6,217911
286,1657.57,218151
328,2032.2,263472
571,4095.55,475928
262,1720.71,213302
204,1151.43,155097
424,2681,332665
350,2060.01,264125
342,2122.68,273455
534,6007.96,472511
158,883.075,113832
309,1818.71,233225
244,1416.66,177308
912,6247.9,744096
274,1642.15,205613
534,3708.41,450934
307,1870.04,247724
321,1983.94,257213
248,1532.13,206777
367,2145.52,286852
278,1666.95,224288
266,1651.85,209092
226,1380.99,177264
315,1941.79,245074
541,3598.78,455674
260,1460.32,195325
363,2332.24,313644
186,1017.71,135054
419,2466.27,305243
438,2759.6,350115
269,1697.82,214045
254,1447.43,192489
220,1259.65,163199
215,1186.93,157212
284,1642.45,212692
797,5686.04,706491
234,1433.58,191111
1000,8141.32,902833
298,1834.5,232331
365,2347.77,297657
427,2793.85,358708
341,2064.83,252256
452,2990.81,360752
444,2702.6,351925
879,6259.32,757292
321,1876.76,246195
422,2586.35,337040
1000,7041.14,883042
218,1216.44,157764
176,983.164,127275
248,1503.01,192633
276,1643.71,204994
357,2101.3,269908
400,2369.7,289224
301,1950.98,250916
528,3167.56,395833
307,1844.77,253766
226,1316.34,165730
314,2057.33,254849
195,1122.51,150727
136,840.486,108969
348,2058.59,273765
431,2756.88,357452
417,2583.18,332836
204,1189.57,155176
441,2535.61,345268
376,2292.24,290203
280,1642.11,218249
378,2223.97,288559
488,2898.93,384650
378,2287,285746
646,4404.38,541529
403,2575.68,336333
266,1576.98,198751
358,2233.4,280330
301,1657.13,224152
322,1971.49,263866
492,2793.14,357448
482,3143.89,392363
696,4684.72,595336
358,2098.95,277519
437,2607.78,335825
287,1721.78,229902
128,781.512,100890
340,2070.2,265066
230,1316.46,173511
887,6535.46,837974
467,2994.26,386462
358,2110.42,270205
406,2654.41,343851
326,1992.06,263911
216,1330.17,167261
280,1605.28,206761
262,1579.95,203596
270,1564.18,201051
240,1514.9,188819
338,1890.29,241051
488,3070.72,400647
586,4579.52,538067
208,1124.6,140675
292,1820.11,239583
325,1945.95,256839
267,1494.11,190042
314,1811.5,243293
770,5202.14,647053
200,1192.93,157622
295,1719.73,229280
244,1475.74,188091
251,1467.43,190052
668,4463.2,565680
335,2081.69,270114
342,2018.11,270076
194,1086.13,137119
146,799.286,102301
408,2609.14,327429
461,2882.87,373292
570,3580.78,431179
180,1039.98,136931
941,6056.35,765145
290,1695.12,215535
370,2401.36,310274
347,2122.68,274017
424,2652.87,330534
282,1590.86,198355
344,2702.98,357163
214,1807.65,231432
260,2028.03,257193
266,1604.65,209556
384,2275.46,286526
248,1379.09,183568
641,12386.4,554168
272,1643.55,218970
458,2817.8,363285
240,1434.96,187981
527,3230.94,418463
370,2233.76,296123
512,3460.79,425815
260,1520.52,192418
379,2282.19,294287
356,2231.64,276777
420,2696.79,359975
307,1959.29,259843
319,1769.74,229969
210,1234.85,157095
309,2039.75,261226
310,1778.75,234207
227,1299.75,170082
300,1975.07,251155
331,2061.57,263559
194,1051.44,134685
437,2618.32,354230
184,1028.27,131637
838,6208.19,751006
253,1422.99,187006
178,1113.5,142658
414,2465.93,331604
234,1415.95,178177
280,1662.38,212269
202,1185.05,158405
841,5485.72,708722
285,1630.74,218024
204,1151.06,154437
378,2177.85,296766
606,4259.41,522725
369,2394.34,331535
610,3915.79,502006
288,1772.36,222097
266,1526.84,193552
256,1546.56,203164
199,1118.53,145245
200,1162.67,146637
146,863.546,110331
929,7042.01,839839
198,1136.52,147515
200,1183.15,150327
392,2597.68,326792
176,918.686,121646
242,1360.01,184734
292,1767.31,220041
316,1830.12,230966
170,933.861,120407
280,1621.89,206388
914,7256.15,858607
361,2241.63,281565
214,1253.63,159871
683,4964.99,600723
258,1483.23,194823
312,2061.59,254296
312,2045.71,264578
459,2813.14,363572
342,2300.91,302297
358,2228.02,277397
318,1820.77,238129
238,1314.06,176990
226,1297.12,162410
262,1508.84,199258
269,1606.59,211024
309,2058.77,260362
328,1975.57,269462
324,2178.77,256510
513,3061.72,405896
344,2282.4,283857
332,1991.59,268149
334,1956.24,248772
489,3206.18,415817
292,1746.74,218228
273,1725.38,222833
447,2879.24,377800
524,3304.43,413739
234,1424.68,182211
610,4621.44,531580
638,4313.68,544385
206,1260.46,157299
571,3598.79,475272
437,3052.14,355847
262,1540.89,202218
413,2556.55,345410
302,1843.44,233352
419,2616.33,353761
334,2049.36,260454
316,1888.41,245461
571,3632.67,472483
196,1102.14,143617
442,2667.32,340939
318,1853.65,233535
336,2005.76,269893
362,2268.09,294794
262,1518.37,203538
300,1756.57,225375
342,2151.99,279129
196,1184.01,147432
188,968.074,127348
352,2037.51,264795
186,1047.33,137617
262,1525.59,200256
313,2083.26,262890
755,5442.4,680139
438,2813.28,351511
316,1867.4,241445
299,1784.41,242732
306,1844.33,232305
242,1447.74,196573
236,1313.48,174924
303,1789.27,237899
191,1172.85,155191
262,1386.45,179939
297,1811.77,226238
323,2165.35,269801
482,3008.97,387206
251,1464.3,190308
314,1904.99,239388
195,1081.77,140249
164,877.229,112706
184,1193.43,145706
466,3163.79,389795
470,2888.4,365812
656,4933.61,589674
326,1834.64,239562
354,2078.84,274957
424,2674.18,334871
198,1169.59,152963
252,1570.38,202989
259,1442.19,193537
208,1256.24,160986
220,1255.94,166069
450,2715.18,342785
477,2799.84,398167
268,1360.33,203164
208,1006.15,155206
288,1623.29,227461
278,1321.9,201490
238,1161.49,176808
218,1121.19,169396
254,1140.49,187109
234,1122.13,169559
464,2357.06,366882
260,1300.97,210844
240,1209.29,183055
266,1260.76,195933
486,2722.16,408936
372,1869.99,291726
406,2086.93,319336
222,1045.48,163055
330,1704.71,254378
235,1153.57,182825
289,1371.46,222213
327,1643.52,274199
220,1109.04,164601
244,1159.67,184350
349,1790.21,280239
995,5674.76,898307
196,973.289,153878
518,2896.21,428363
518,2748.76,420931
196,904.46,135829
324,1544.95,250907
292,1380.13,206347
288,1424.99,215959
358,1900.43,291568
708,3905.53,569360
260,1272.23,197922
233,1158.98,180476
322,1601.85,246104
553,2968.14,434195
488,3374.25,399566
743,4502.87,621491
314,1590.56,253915
309,1546.39,247435
409,1959.6,322771
731,4243.89,602854
291,1474.44,235846
384,1989.76,299037
723,4215.16,639594
276,1331.49,206890
314,1559.36,242824
238,1241.17,182376
375,1846.42,293873
419,2196.36,329185
436,2236.18,352168
288,1465.63,223038
278,1329.17,202498
212,1006.87,159721
352,1882.76,291380
506,2637.15,421460
545,2989.54,459200
460,2470.48,360607
419,2057.69,330103
624,3515.27,526661
322,1613.73,242518
282,1306.78,203054
319,1961.47,261477
240,1197.39,183215
314,1589.64,234094
417,2132.69,336895
982,6857.47,905287
428,2260.57,342744
305,1545.28,235150
448,2303.65,349281
376,1942.8,285260
504,2656.43,411051
704,4392.89,622793
226,1108.31,175741
369,1850.98,294238
336,1822.27,272022
390,2032.54,311160
310,1495.61,250877
350,1806.32,267241
450,2221.76,346568
284,1453.96,218885
250,1253.88,199207
279,1356.93,215964
230,1185.52,186024
238,1222.37,184592
326,1610.38,258960
201,934.226,153286
258,1297.02,202006
405,1902.57,309270
220,1108.71,170830
418,2328.17,352637
332,1696.65,249897
426,2047.04,315960
142,632.704,98173
531,2743.47,428253
215,1090.11,166053
290,1437.88,220176
258,1229.13,200011
243,1160.19,183794
312,1520.63,235775
402,2081.82,312529
264,1352.94,210475
1000,6351.03,865275
229,1101.33,176821
561,3180.44,491091
412,2156.97,330221
218,992.008,154687
385,1905.99,307298
394,2024.1,309250
311,1683.01,249383
170,788.705,128000
351,1838.13,288215
312,1494.83,228628
273,1334.5,219282
528,2937.48,448159
248,1210.53,188202
463,2558.65,386600
385,1999.47,322479
340,1732.42,264959
256,1202.7,191454
404,1996.69,307584
304,1494.16,232771
611,3722.32,544477
218,1054.57,166937
254,1201.37,182188
372,1872.6,289698
859,4906.85,755802
539,3154.03,449371
436,2216.76,343436
570,8411.7,514077
444,2334.35,344566
302,1596.41,244736
443,2552.5,370230
352,1754.73,290361
444,2484.97,372458
286,1416.88,215034
298,1431.75,214828
307,1598.56,240162
476,2444.32,373754
222,996.706,157458
268,1278.94,208128
250,1222.06,181126
746,4421.43,629065
296,1514.75,241312
216,1077.55,163021
570,2914.74,469990
256,1264.41,189150
615,8555.55,556350
274,1349.17,207027
427,2423.91,381334
258,1191.79,187740
245,1187.12,191593
382,1980.04,298409
146,693.097,109406
346,1729.5,255106
304,1518.9,226267
360,1745.26,271891
437,2309.89,369926
673,3833.2,578865
284,1370.62,202906
262,1250.67,192016
314,1809.62,267897
366,1779.1,268008
394,2051.38,310956
302,1648.1,254845
194,950.823,147037
218,1087.84,163434
259,1297.46,212914
398,2004.72,296504
526,3025.42,460339
316,1582.72,241927
331,1656.98,263031
224,1060.22,161849
359,1879.46,276495
195,1020.91,156008
330,1530.38,241992
1000,6171.26,872267
296,1466.86,222531
220,1077.44,165011
439,2255.32,341605
694,3961.98,609081
620,3188.19,481347
595,3328.2,524706
258,1271.2,193252
176,967.185,145130
429,2253.6,342201
237,1214.05,189006
338,1619.62,252118
357,2070.84,306835
667,3907.27,560237
401,2214.51,336018
234,1185.19,185570
224,1060.32,167065
505,10340.8,479001
440,2367.5,359064
366,1987.58,302298
206,1245.37,163478
350,2187.47,283140
434,2368.56,350194
279,1302.84,213018
194,908.416,139744
295,1487.12,238041
316,1673.29,255793
414,2355.19,346707
208,1019.76,164840
382,2048.36,306763
578,2916.83,448216
370,1840.55,279090
380,2028.7,305281
293,1468.2,228234
280,1538.95,210760
312,1770.11,231742
446,3069.36,367768
254,1501.36,197894
418,2546.98,324731
489,2430,400291
300,1583.84,237043
292,1503.23,230474
440,2310.26,356496
422,2020.88,311686
489,2764.41,418166
464,2421.14,378891
276,1435.7,218891
216,1037.69,162921
272,1222.3,197376
324,1774.32,263621
284,1436.44,225449
1000,49238.3,1.01503e+06
290,1414.3,226224
720,4424.34,615983
160,816.069,119634
296,1453.69,225100
410,2228.39,342550
683,3782.84,606652
258,1259.48,198320
264,1290.05,191394
276,1428.76,216647
346,1805.21,262646
322,1607.38,263034
401,2022.82,323528
676,4053.93,594951
168,839.183,124556
304,1483.09,234315
136,645.284,98642
368,1803.53,277842
284,1374.29,214370
386,1888.55,297629
256,1293.62,200460
198,1036.69,160596
331,1692.25,267315
248,1278.92,201048
455,2478.8,360873
304,1590.96,247402
328,1642.45,252940
389,1943.78,309849
310,1627.12,248735
250,1215.96,198949
372,2062.16,293052
294,1458.99,221980
303,1539.85,241715
217,1019.04,163220
215,1085.36,167010
212,952.529,146854
607,2988.71,485331
499,2848.38,441768
386,1913.37,310061
398,1929.72,294120
240,1343.04,207449
364,1808.88,269071
238,1187.76,182772
324,1688.36,256044
517,2601,420678
290,1448.09,220878
314,1448.18,224913
792,7044.6,726594
288,1445.55,212993
509,2932.22,433451
212,1031.62,163839
274,1350.67,211429
294,1615,234261
592,2984.58,432874
170,841.839,134882
502,2603.2,400719
180,887.541,135516
360,1942.08,295155
234,1140.73,172167
335,1831.92,290241
403,2046.13,330913
342,1733.51,274624
266,1339.91,217765
376,1889.9,301996
202,981.922,149656
335,1797.98,276734
373,1835.92,295128
252,1273.52,192728
677,3448.18,554715
485,2434.3,386390
240,1292.78,195123
359,1739.83,282617
329,1740.41,264339
486,2574.99,400414
226,1088.16,165572
252,1202.09,191733
178,839.63,127889
280,1397.02,194965
300,1499.51,222730
474,2511.65,394994
394,2175.45,331214
248,1144.4,181571
423,2480.28,376885
417,2184.81,324485
497,2767.71,423334
168,801.072,124579
591,3430.31,539413
389,1940.71,303312
292,1499.48,221197
375,1925.04,287259
276,1396.65,213746
304,1630.66,236298
323,1548.06,247768
422,2393.23,348851
294,1438.98,218008
670,4089.36,556184
229,1412.73,187699
232,1411.79,176283
937,6719.93,878868
426,2619.32,341213
372,2192.75,295026
407,2548.04,335251
358,2227.69,291399
310,1795.95,226018
447,2720.7,344903
536,3463.02,436859
366,2133.47,283021
456,2910.52,366716
