score,achieved_return,computational_cost,nb_calls
50,15.754,174.698,23625
50,19.4399,176.452,23100
50,27.4499,174.889,23526
50,23.9093,173.977,22892
50,21.8871,173.87,22991
50,23.5276,173.775,23148
50,26.9191,176.513,23052
50,24.2824,174.03,23028
50,22.8565,174.891,23237
50,24.4992,174.765,23559
50,14.3915,173.881,22997
50,26.9056,176.804,23119
50,28.5184,174.267,23198
50,16.9135,176.146,23776
50,26.4814,175.697,23604
50,26.2097,173.646,23391
50,19.2011,173.646,22931
50,30.1034,174.039,23127
50,23.8115,176.322,23698
50,22.4898,173.873,23005
50,22.8456,174.662,23526
50,24.7934,175.631,22884
50,14.8193,175.085,23518
50,26.513,174.481,23484
50,15.1005,174.658,23359
50,21.1741,175.273,23189
50,24.0639,173.491,23045
50,18.0578,174.277,23742
50,26.1163,172.911,23146
50,17.2308,174.387,23955
50,24.967,174.254,23218
50,12.7116,173.336,23089
50,13.1325,173.834,23681
50,26.2621,175.109,23053
50,28.4768,175.073,23268
50,22.9667,175.751,23682
50,19.9065,173.844,23067
50,12.3091,173.026,23253
50,22.6215,173.05,23457
50,14.39,173.491,23095
50,16.1828,172.712,23057
50,18.7206,174.536,23459
50,23.5681,174.628,23396
50,17.9311,173.709,23400
50,21.738,176.914,23275
50,20.628,173.588,23179
50,21.9451,174.358,23148
50,25.5591,173.679,23435
50,22.8739,173.121,23475
50,18.9385,172.671,23360
50,24.1303,173.307,23414
50,24.7272,172.912,22855
50,19.6633,173.885,23529
50,25.571,172.917,22959
50,15.6902,172.805,23155
50,24.0988,173.138,23342
50,19.088,172.213,22920
50,16.6794,172.807,23070
50,13.1376,173.489,23371
50,17.8503,173.748,23154
50,25.0445,173,23123
50,17.3093,172.887,23422
50,23.0883,172.82,23016
50,20.5167,176.927,23175
50,12.3073,173.611,23327
50,25.0179,173.005,23223
50,19.3237,172.584,23057
50,21.1414,172.941,23365
50,28.8519,173.586,23525
50,22.8624,174.244,23456
50,27.2159,173.296,23055
50,20.4771,173.098,23351
50,27.184,172.746,23136
50,17.5331,173.945,23457
50,18.9072,173.132,23089
50,24.3034,173.108,23046
50,25.6715,174.613,23323
50,21.7731,173.888,23508
50,21.6077,173.123,23286
50,24.0293,173.128,23010
50,25.2506,173.443,23614
50,17.6552,173.632,23107
50,19.4438,173.362,23234
50,19.6722,173.815,23637
50,23.6084,172.517,23035
50,22.0658,172.474,22945
50,13.381,174.084,23292
50,29.39,173.438,23588
50,22.5191,172.542,22998
50,21.443,172.44,23103
50,25.8883,172.586,22998
50,19.0767,173.804,23690
50,18.6869,172.81,22868
50,11.0806,173.275,23062
50,16.307,173.102,23218
50,23.2097,173.399,23484
50,24.3313,175.152,23057
50,28.2262,174.083,23511
50,21.6634,173.727,23423
50,25.1383,173.087,23468
50,18.4438,173.467,22992
50,18.6721,178.215,23249
50,20.145,174.803,23516
50,22.3917,174.116,23139
50,15.5949,173.172,23355
50,16.1891,173.327,23259
50,13.7064,173.184,23071
50,21.3911,173.068,23425
50,17.7855,172.829,23316
50,17.1144,175.979,23582
50,22.1891,173.262,23085
50,22.3822,173.105,23286
50,16.8817,173.202,23317
50,22.713,174.895,23697
50,15.5676,173.18,23304
50,22.547,173.542,23586
50,26.1898,172.362,23073
50,23.7515,173.987,23646
50,25.9195,172.995,23267
50,24.3136,173.58,23511
50,24.5177,174.859,23359
50,13.3942,172.929,23063
50,22.7918,174.102,23547
50,24.0939,173.632,23711
50,23.3178,173.096,23154
50,24.9136,172.697,23141
50,13.7766,172.97,23144
50,18.012,174.091,23558
50,20.2134,173.737,23608
50,24.4783,173.603,23128
50,25.5984,173.415,23330
50,25.4755,173.266,23064
50,16.8176,172.98,23291
50,28.0332,172.159,22890
50,22.5855,172.829,23242
50,22.4148,172.345,23044
50,21.6584,173.129,23421
50,20.0219,174.766,23276
50,15.6898,173.837,23215
50,21.171,174.294,23782
50,25.2491,173.094,23187
50,17.5794,172.572,23113
50,20.1313,173.118,23451
50,27.3524,173.255,23091
50,29.6642,173.696,23131
50,18.9135,174.618,23670
50,25.8504,173.432,23326
50,29.8407,173.173,23063
50,25.5624,178.131,23640
50,16.4299,175.077,23353
50,14.7169,177.402,23748
50,17.1545,173.193,23146
50,19.5449,173.63,23744
50,28.3486,173.125,23519
50,26.2304,179.738,23045
50,20.9124,177.602,23070
50,11.5169,174.037,23136
50,13.3007,173.925,22880
50,13.6202,175.363,23546
50,25.5685,175.4,23362
50,16.4763,174.051,23330
50,26.5635,174.644,23855
50,20.6164,174.058,23151
50,11.9289,175.158,23469
50,26.3633,173.816,23471
50,22.0021,173.845,23751
50,21.2991,172.653,23135
50,21.9296,172.828,23147
50,18.4737,172.881,23266
50,15.3937,172.584,23203
50,19.2862,173.046,23231
50,18.2175,173.77,22927
50,19.5803,174.553,23680
50,14.0126,174.025,23728
50,26.5943,172.419,23198
50,26.1112,174.522,23161
50,17.3555,176.918,23631
50,16.1385,173.825,23520
50,11.871,173.335,23229
50,24.7808,176.952,23064
50,28.1549,173.408,23666
50,20.9548,175.625,22993
50,21.7932,174.004,23052
50,23.7742,173.592,23275
50,18.8328,172.69,23040
50,17.0023,172.696,23236
50,22.454,174.875,23143
50,27.6713,173.312,23502
50,14.7612,175.974,23577
50,13.5835,173.229,23370
50,21.6962,174.141,23075
50,16.1889,175.792,23111
50,16.6539,173.612,23417
50,25.2005,172.628,23186
50,13.605,174.28,23616
50,22.2952,173.882,23552
50,21.9075,174.239,23981
50,19.6291,174.658,23392
50,28.9715,176.322,23687
50,19.5067,174.091,23199
50,16.0304,172.447,22851
50,17.068,172.263,22884
50,15.7005,172.823,23198
50,24.9981,172.38,23036
50,23.4434,173.41,22967
50,22.5443,174.938,23501
50,24.2715,173.214,23192
50,28.0574,175.606,23714
50,11.558,173.363,23123
50,11.6614,173.779,23798
50,15.4437,173.008,23451
50,18.8739,172.991,23214
50,19.4694,173.225,23164
50,16.9648,172.713,22960
50,24.2854,175.744,23153
50,16.4785,178.933,23323
50,15.8643,174.203,23323
50,15.6077,175.408,23561
50,25.5273,172.768,23105
50,22.6813,173.074,23437
50,21.9473,173.073,23335
50,11.2149,173.403,23066
50,18.595,174.637,23138
50,16.9645,173.923,23462
50,17.53,172.401,22726
50,24.6761,172.94,23177
50,24.514,172.42,22953
50,20.8901,174.265,23273
50,25.4223,173.758,23121
50,25.1843,175.07,23773
50,22.0603,172.901,22989
50,21.2488,173.528,23277
50,19.1369,172.825,22939
50,14.9282,176.675,23494
50,21.3415,173.501,23066
50,17.155,172.791,23177
50,19.664,172.821,23402
50,25.8335,172.975,23350
50,25.4778,172.68,23241
50,18.5427,174.989,23400
50,24.4248,172.761,23049
50,20.854,173.34,23137
50,24.1083,173.07,23265
50,17.1034,174.783,23184
50,18.7807,173.216,23533
50,21.2322,176.106,23256
50,22.9907,175.106,23645
50,16.819,173.44,23356
50,29.3482,173.868,23516
50,20.8036,172.702,22809
50,17.7812,174.063,23726
50,20.8183,177.773,23649
50,17.3243,172.306,22975
50,22.6523,173.073,23504
50,16.113,172.364,23027
50,22.1628,173.594,23265
50,18.5115,173.428,23108
50,18.1309,173.363,23373
50,20.7726,173.008,23076
50,14.8531,172.96,23215
50,24.5257,172.644,23158
50,17.7192,174.911,23113
50,19.1092,173.699,23262
50,24.7179,174.706,23187
50,20.7366,173.38,23192
50,22.9771,172.906,23097
50,22.8685,176.033,23128
50,17.0956,173.057,23052
50,19.2184,173.865,23138
50,23.1199,174.102,23454
50,17.6511,173.993,23283
50,15.7254,175.769,23703
50,27.9287,175.997,23377
50,23.4123,173.745,23202
50,24.296,172.439,23107
50,20.0899,174.202,23770
50,16.9029,172.814,22803
50,26.043,173.101,23307
50,25.3168,173.187,23091
50,27.8172,173.951,23565
50,24.1319,174.362,23154
50,25.7217,173.367,23178
50,21.7714,174.275,23670
50,17.1986,174.182,23099
50,19.804,173.239,22793
50,18.6567,173.783,23118
50,23.1954,174.448,23786
50,13.4544,173.565,23185
50,19.3099,173.226,23118
50,23.7577,174.802,23144
50,15.9417,174.693,23498
50,16.539,174.947,23410
50,19.6016,175.045,23213
50,21.9255,173.928,23000
50,20.2605,174.796,23571
50,21.3183,173.952,23579
50,21.4606,174.491,23411
50,20.319,175.206,23094
50,15.7239,174.978,23826
50,23.0374,175.402,23036
50,22.3389,175.493,23694
50,22.3177,173.983,23234
50,23.1152,174.656,23760
50,26.9161,173.733,23294
50,22.6177,173.152,23039
50,22.716,176.571,22993
50,28.5293,175.94,23108
50,21.037,175.683,23712
50,23.8482,173.335,23176
50,19.0115,174.225,23668
50,12.5736,173.497,23155
50,23.0813,173.425,23251
50,21.0476,174.597,23912
50,20.9715,174.611,23565
50,24.7195,173.954,23043
50,24.1809,173.49,23348
50,16.8412,173.04,22894
50,22.3824,176.19,23355
50,14.1147,176.481,23182
50,16.4552,173.859,23065
50,21.3867,173.092,22975
50,20.2271,173.598,23371
50,12.6379,173.083,23039
50,14.0578,174.895,23131
50,21.6651,174.667,23220
50,24.7241,174.212,23170
50,19.6321,174.183,23679
50,16.786,175.386,22945
50,18.2451,175.582,23660
50,21.2633,175.5,23150
50,11.526,174.394,23115
50,25.5286,174.345,23207
50,14.8504,173.877,23309
50,21.2829,175.505,22883
50,24.4363,173.748,23254
50,23.5164,173.148,23031
50,21.679,174.028,23331
50,17.48,173.791,23451
50,25.4216,174.095,22958
50,26.0059,173.143,22929
50,17.5496,175.171,23553
50,25.1469,174.325,22989
50,10.9347,174.184,23214
50,18.7346,174.461,23185
50,17.3186,173.339,23072
50,17.4319,173.553,23385
50,21.008,177.95,23207
50,21.69,173.245,22894
50,23.6653,174.489,23075
50,14.2312,173.898,23373
50,19.541,175.162,23685
50,22.9961,175.468,23187
50,18.6584,174.263,23241
50,25.1363,175.458,23519
50,19.5045,174.904,23589
50,22.9133,173.951,23349
50,20.1818,174.136,23472
50,12.6668,175.793,23683
50,18.3698,174.469,23353
50,23.4231,173.974,23118
50,17.8112,174.657,23415
50,21.3676,173.87,23440
50,18.0604,172.856,22825
50,21.2387,173.953,23458
50,24.2917,173.506,22988
50,21.5584,174.253,23356
50,24.5666,173.114,23017
50,24.4096,174.774,23275
50,22.2259,174.986,23726
50,28.705,173.757,23478
50,24.2424,173.905,23458
50,23.0605,174.399,23188
50,26.5261,173.105,23291
50,20.3736,173.921,23573
50,22.4094,175.911,23230
50,21.4965,174.973,23535
50,30.4539,175.591,23712
50,17.534,175.682,23694
50,27.4363,173.202,22952
50,14.0993,175.3,23239
50,21.6044,173.702,23258
50,16.5785,174.112,23099
50,21.7425,176.231,23938
50,21.7948,175.872,23353
50,26.9023,175.463,23128
50,25.2975,175.333,23150
50,13.6475,173.879,22719
50,20.2045,176.479,23697
50,22.3538,175.099,23650
50,15.3011,173.361,23318
50,16.9937,172.989,22986
50,22.6806,174.57,23227
50,26.793,174.213,23202
50,16.7148,174.287,23427
50,15.4479,174.573,23584
50,17.2824,173.371,23122
50,28.502,173.784,23337
50,23.0588,173.997,23290
50,19.7718,174.472,23244
50,20.9174,175.296,23340
50,23.9081,174.354,23492
50,22.831,174.942,23068
50,10.9251,175.767,22909
50,27.6033,173.807,23066
50,25.6596,174.262,23364
50,24.8754,173.969,23032
50,21.0446,173.411,23209
50,18.4144,173.783,23405
50,23.4273,174.069,22982
50,14.1063,174.653,23271
50,19.6669,175.431,23165
50,14.106,174.854,23158
50,25.7686,175.112,23299
50,19.3088,173.897,23442
50,15.542,173.889,23168
50,27.8428,176.092,23672
50,22.6062,175.631,23449
50,17.3561,173.586,23042
50,25.3734,173.76,23481
50,15.7641,173.951,23517
50,14.2188,173.653,22939
50,15.3499,174.332,23024
50,17.2684,174.228,23287
50,21.4601,173.963,23359
50,18.7902,173.169,23178
50,25.0456,174.315,23049
50,21.4133,174.001,22848
50,23.1213,174.883,23313
50,18.7765,174.798,23316
50,22.9,173.889,23466
50,13.9146,173.29,22971
50,20.0249,176.889,22943
50,25.5267,175.28,23324
50,25.1183,175.993,23514
50,19.8708,173.919,23165
50,23.3879,174.811,23426
50,25.7177,175.249,23648
50,18.0848,175.154,23783
50,24.5634,174.874,23364
50,26.4773,174.356,23707
50,20.0125,176.162,23508
50,21.8301,174.062,23397
50,23.0989,176.402,23061
50,28.9192,175.325,23374
50,17.4937,173.687,22878
50,24.7755,174.163,23027
50,17.4109,174.805,22909
50,16.8975,174.516,23388
50,16.8314,174.795,23291
50,19.5732,174.05,22982
50,20.0474,174.868,23056
50,13.5852,174.241,23481
50,23.1437,173.734,23137
50,21.7868,174.175,23357
50,16.5576,174.11,23162
50,16.7097,174.152,23579
50,16.2689,173.561,23434
50,25.0938,173.855,23102
50,27.1336,176.055,23674
50,26.6337,178.929,23311
50,20.4778,174.871,23396
50,26.7856,174.598,23431
50,14.9465,174.298,23619
50,27.5266,173.317,23164
50,17.7116,174.345,22957
50,24.5474,173.789,23407
50,15.6021,173.522,23136
50,25.429,175.102,23585
50,21.2328,174.701,23611
50,22.6294,175.019,23119
50,17.3038,173.403,22882
