score,achieved_return,computational_cost,nb_calls
50,15.1591,173.372,23169
50,14.1742,173.684,23605
50,9.17792,174.803,23540
50,10.6069,175.298,23463
50,7.6924,172.777,22997
50,7.30961,173.743,22891
50,11.3396,173.942,23456
50,9.62016,174.891,23418
50,4.80396,172.974,23124
50,15.6207,173.603,23379
50,14.8972,173.812,23470
50,9.66374,175.355,23712
50,11.2352,172.81,23184
50,13.4967,173.185,23293
50,9.17764,174.148,23688
50,10.0311,173.549,23527
50,6.68897,172.973,23171
50,5.73472,175.731,23439
50,8.309,173.003,23092
50,13.9477,174.577,23480
50,10.5606,173.439,23281
50,13.5598,173.312,23406
50,7.39018,172.678,23072
50,11.9291,172.527,22974
50,8.01303,174.767,23010
50,8.99384,177.582,22926
50,13.3432,174.593,23691
50,9.10307,174.388,23812
50,6.99641,172.716,23033
50,5.82043,173.616,23083
50,12.052,174.703,22942
50,10.9679,175.058,23420
50,11.9095,175.107,23579
50,11.2858,173.977,23458
50,7.15552,174.252,23394
50,7.13735,172.891,23262
50,10.1498,174.346,23299
50,11.3448,172.848,22920
50,8.1905,173.495,23768
50,11.7389,172.607,23070
50,9.07109,172.757,23210
50,13.6064,173.056,23249
50,9.99101,173.544,23291
50,6.77515,173.039,23165
50,8.8723,173.543,23509
50,10.061,173.624,23664
50,6.29749,173.453,22873
50,13.9317,172.998,23314
50,12.3008,174.434,23275
50,8.20279,172.707,23323
50,7.41821,172.344,23097
50,11.1009,172.983,23426
50,13.2015,173.17,23615
50,7.1912,174.97,23695
50,10.2635,172.854,22977
50,10.2735,173.808,23452
50,14.9193,173.656,23824
50,12.0556,172.368,23053
50,13.3622,173.85,23406
50,14.2192,173.146,23317
50,12.4075,173.437,23621
50,8.13459,174.527,23744
50,10.93,175.029,23563
50,12.0095,175.707,23428
50,13.1943,176.872,23236
50,8.53135,173.168,23329
50,8.30383,173.109,22954
50,12.2117,173.104,23182
50,14.5228,173.11,23582
50,14.2855,172.833,23227
50,10.1638,174.709,23367
50,8.44421,173.56,23072
50,4.83484,174.728,23637
50,12.5908,174.793,23554
50,8.50281,172.461,23125
50,10.6848,172.499,22934
50,6.80202,172.828,23055
50,8.48527,172.21,22932
50,9.66928,174.012,23475
50,8.95074,173.195,23611
50,9.3701,172.888,23363
50,11.8699,174.842,23716
50,9.3251,172.849,22949
50,12.3329,173.998,23341
50,8.76538,173.281,23260
50,11.8814,174.888,23344
50,9.80171,173.254,23061
50,16.4832,174.775,23316
50,5.95943,173.898,23097
50,12.881,176.403,23971
50,9.5842,174.007,23335
50,13.3195,173.526,23511
50,11.3981,172.596,23028
50,9.11136,174.06,23785
50,14.7434,174.038,23678
50,6.75807,173.845,23178
50,11.7804,173.029,23196
50,12.8628,172.825,22921
50,11.3674,173.869,23252
50,9.05502,173.9,23646
50,8.17831,173.233,23014
50,4.97947,174.222,23637
50,6.13326,172.549,23177
50,14.8639,173.065,23542
50,7.57772,176.663,23427
50,7.55271,181.284,22936
50,14.5799,175.69,23349
50,13.1057,175.038,23628
50,13.8443,174.614,23631
50,13.6699,174.653,23426
50,10.2526,176.524,23491
50,8.77141,175.459,23453
50,10.6941,173.88,23424
50,6.31839,172.989,23131
50,11.895,173.273,23641
50,8.28651,176.238,23553
50,10.7533,184.934,23473
50,7.2503,178.004,23391
50,10.7253,177.973,23849
50,14.1616,176.768,23511
50,14.8232,175.761,23397
50,5.01767,174.448,22870
50,11.8144,177.235,23545
50,4.97996,174.605,23451
50,13.9411,174.519,23411
50,9.26434,174.23,23049
50,5.67714,174.376,23877
50,10.2874,176.769,23191
50,12.9522,176.334,23253
50,7.86293,173.487,22996
50,19.4938,174.842,23827
50,13.9859,173.023,22861
50,12.3439,174.551,23726
50,9.58385,175.933,23188
50,9.06831,174.36,23498
50,11.9094,173.796,23616
50,15.8556,174.329,23828
50,14.53,182.577,23789
50,8.14926,175.194,23300
50,6.35837,175.188,23158
50,10.205,173.371,23101
50,10.0136,174.031,23583
50,9.38857,173.676,23488
50,3.57233,175.288,23108
50,8.68543,176.685,23132
50,9.70457,175.706,23592
50,12.0122,173.448,23089
50,10.0884,175.566,23657
50,9.00529,173.108,23347
50,9.28916,174.048,23762
50,14.8845,175.138,23257
50,11.6191,173.87,23646
50,10.138,174.43,23769
50,10.9586,173.086,22920
50,9.41726,174.115,23140
50,13.4712,175.219,23730
50,12.3332,174.29,22872
50,12.3777,173.658,23484
50,10.1533,174.08,23619
50,9.57062,174.045,23573
50,9.90428,174.146,23697
50,13.3366,178.41,23439
50,13.2754,175.775,23493
50,13.4419,173.8,23292
50,14.7917,174.469,23313
50,6.58376,172.387,22788
50,13.0649,173.539,22849
