score,computational_cost,nb_calls
322,5523.68,911667
822,12259.8,2.6093e+06
1000,17886,3.16863e+06
528,6482,1.4869e+06
519,8554.26,1.55679e+06
233,4919.97,734396
565,9790.31,1.76344e+06
1000,14507.9,3.10305e+06
724,9942.62,2.21312e+06
352,5874.78,1.01487e+06
370,5011.31,1.106e+06
406,7080.15,1.26038e+06
1000,16547.5,3.23942e+06
385,6241.93,1.12693e+06
303,3978.43,814237
834,14987.7,2.62522e+06
188,3382.99,550466
179,2726.45,544913
1000,13056.9,2.99134e+06
882,13243.4,2.73808e+06
557,9467.51,1.67681e+06
530,7309.3,1.57234e+06
852,12466.7,2.55561e+06
96,1232.17,248372
531,9839.85,1.68208e+06
694,9979.85,2.00272e+06
477,7743.85,1.51895e+06
279,6454.16,904487
316,5615.4,1.04542e+06
634,11553.4,2.06836e+06
539,5703.61,1.50504e+06
984,13214.3,2.9661e+06
416,5793.13,1.28888e+06
655,9352.08,1.85357e+06
168,3106.11,466704
415,6313.63,1.27441e+06
617,9872.08,1.80197e+06
471,7873.44,1.48934e+06
369,4667.59,1.08645e+06
744,9944.09,2.27493e+06
552,8587.89,1.70177e+06
710,8923.27,2.07023e+06
450,6364.08,1.28969e+06
282,4764.91,847227
331,4889.17,930132
218,4287.85,698271
922,13059.6,2.81942e+06
525,7456.15,1.61768e+06
708,10095,2.0999e+06
710,8818.28,2.10811e+06
876,12503.4,2.80214e+06
499,5641.33,1.44913e+06
236,5314.41,784535
452,5109.23,1.2865e+06
737,11133,2.26872e+06
467,7114.77,1.37326e+06
1000,15380.5,3.18015e+06
1000,16994.8,3.14591e+06
341,5268.22,1.02618e+06
842,13128.2,2.6087e+06
659,12262.9,2.05953e+06
546,9109.65,1.68989e+06
436,7681.49,1.39423e+06
310,5408.62,900859
579,7976.56,1.65683e+06
795,14701.6,2.56661e+06
747,13413.4,2.27718e+06
414,4439.54,1.15394e+06
1000,12259.4,3.2304e+06
917,15600.2,2.83324e+06
454,7823.38,1.47291e+06
665,10772.6,1.95376e+06
757,13646.8,2.34198e+06
764,14056.8,2.42266e+06
492,8289.72,1.44692e+06
610,9340.07,1.82232e+06
760,16317.2,2.41609e+06
293,4788.52,910092
693,8495.21,2.02782e+06
518,7271.12,1.54007e+06
523,7046.15,1.5833e+06
613,11123.2,1.9153e+06
860,11622.4,2.70294e+06
1000,12669,3.17532e+06
190,2179.6,450977
213,4080.64,618117
446,9673.79,1.48681e+06
276,6174.21,915881
237,3606.87,629581
534,9598.34,1.6255e+06
270,3159.78,664329
312,6113.26,953461
261,3761.03,700263
853,14014,2.48384e+06
335,4065.42,1.00221e+06
584,10918,1.90726e+06
256,2442.96,659674
1000,17346.3,3.31205e+06
112,2181.66,350134
1000,13025.4,3.07966e+06
