score,computational_cost,nb_calls
374,20200.3,6.19086e+06
337,25479,5.56658e+06
357,20869.5,5.89638e+06
93,8259.93,1.55111e+06
232,21542.8,3.84943e+06
294,25351,4.87194e+06
884,73517.9,1.46145e+07
532,38644.1,8.77415e+06
338,27043.4,5.58353e+06
689,42626.4,1.13318e+07
347,18326.4,5.74018e+06
430,28294.7,7.09784e+06
328,22668.4,5.40788e+06
211,17034.6,3.50473e+06
391,32251.2,6.4575e+06
564,28699.5,9.28725e+06
248,12727.6,4.08346e+06
402,23839.3,6.63725e+06
297,21577.5,4.91356e+06
303,19645.9,5.01632e+06
329,26244.4,5.43786e+06
139,11603.2,2.30764e+06
512,34942,8.45776e+06
591,38675.3,9.74836e+06
238,14087.8,3.92959e+06
451,30215.2,7.42634e+06
304,22133.5,5.01759e+06
756,60236.6,1.24779e+07
537,33705.1,8.878e+06
212,12888.3,3.50135e+06
271,16675.3,4.47143e+06
419,35388.3,6.92367e+06
762,46708.2,1.2551e+07
870,61963.6,1.43403e+07
149,13005.3,2.4726e+06
260,15532.2,4.28876e+06
137,12455.2,2.27957e+06
1000,57765.8,1.64553e+07
257,14671.6,4.24097e+06
312,28240.8,5.16304e+06
465,27028.8,7.65297e+06
800,56867.7,1.31729e+07
564,36170.4,9.32692e+06
129,9204.8,2.15084e+06
469,32540.3,7.73525e+06
269,18800.6,4.44186e+06
483,33326.1,7.99918e+06
727,50690.9,1.198e+07
925,77043.6,1.52583e+07
266,21262.9,4.4029e+06
213,18089.7,3.53608e+06
164,11024.5,2.72075e+06
846,40345.4,1.38764e+07
966,60849.9,1.58811e+07
351,23028.1,5.81429e+06
611,32954.4,1.00809e+07
709,58459.7,1.16975e+07
363,31401.4,6.00125e+06
461,33615.5,7.61523e+06
232,15755.9,3.83672e+06
88,7153.97,1.46777e+06
410,22233.1,6.79507e+06
213,17822.7,3.52515e+06
453,32578.6,7.46521e+06
434,27383.4,7.16137e+06
581,37284.1,9.56252e+06
558,35945.2,9.18233e+06
222,16150.7,3.67301e+06
217,13257.8,3.58411e+06
1000,64665.5,1.64608e+07
763,41507.1,1.25537e+07
157,12710.5,2.61058e+06
363,27215.1,6.00836e+06
651,35826.7,1.06978e+07
184,14834,3.05664e+06
209,17259.9,3.46667e+06
378,27834.2,6.25254e+06
281,23136.1,4.64644e+06
362,19239,5.95852e+06
273,21873.1,4.51898e+06
471,27253.5,7.74291e+06
367,23942.2,6.05154e+06
368,30142.1,6.07681e+06
699,42342,1.15325e+07
505,25974.2,8.36999e+06
368,24448.5,6.09316e+06
402,25399,6.64757e+06
602,31407.9,9.91952e+06
699,51049.9,1.1513e+07
910,51806.7,1.49771e+07
166,13348.9,2.75229e+06
783,52941.7,1.28876e+07
414,30746.4,6.83844e+06
356,28420.8,5.88963e+06
103,8936.59,1.71932e+06
303,23251.4,5.01673e+06
228,16114.5,3.77299e+06
193,15934.4,3.19692e+06
230,17902,3.80674e+06
634,43503.5,1.04423e+07
