score,achieved_return,computational_cost,nb_calls
50,12.8305,183.059,25372
50,10.9944,181.93,25044
50,14.0208,183.297,25828
50,7.24798,180.015,24823
50,8.50647,180.937,25117
50,14.6078,180.59,25208
50,12.9425,180.349,25288
50,11.4726,190.31,25698
50,10.7593,204.223,25075
50,11.5529,184.533,25360
50,8.79658,188.385,24631
50,12.6452,192.385,25417
50,11.4445,184.875,25340
50,8.22175,179.985,24701
50,8.58957,180.948,25188
50,9.60206,181.232,24358
50,13.2324,185.902,25701
50,16.2941,182.874,25598
50,6.55623,181.528,24582
50,15.4517,186.411,25716
50,8.87633,186.49,25012
50,10.4916,191.492,25258
50,10.7614,187.57,25505
50,15.1735,184.393,25397
50,12.0476,188.033,25173
50,16.8087,184.538,25754
50,14.2593,189.166,25645
50,10.496,191.392,25249
50,12.103,187.487,25397
50,10.0097,187.253,25166
50,11.8128,184.156,25533
50,13.8472,194.001,25436
50,11.4731,181.752,25410
50,15.6153,189.103,25676
50,12.391,187.155,25189
50,10.1117,187.038,25320
50,6.9421,189.544,24745
50,11.0517,184.887,25238
50,14.3464,183.529,25486
50,13.9079,184.644,25327
50,12.5658,183.516,25345
50,9.90861,180.842,25272
50,11.3523,182.742,24833
50,14.1623,181.045,25344
50,10.6785,182.661,25285
50,12.0231,187.832,25364
50,9.79976,181.062,24908
50,13.0147,190.323,25292
50,14.5942,201.165,25175
50,10.8907,186.356,25530
50,11.4909,187.112,25312
50,11.0185,183.481,25544
50,8.49905,179.81,24458
50,9.20962,180.93,25066
50,15.7559,181.715,25614
50,8.2355,182.668,24501
50,13.6989,181.852,25357
50,15.7412,181.213,25500
50,11.4807,182.097,25642
50,14.1435,185.47,25078
50,13.8243,182.841,25091
50,7.56694,179.321,24488
50,11.4352,182.702,25609
50,12.8697,180.755,25313
50,5.36318,179.159,24564
50,12.5389,183.024,25191
50,16.7207,182.308,25589
50,13.7898,181.724,25623
50,6.37178,180.352,24596
50,10.6056,182.616,25630
50,15.2535,179.771,24862
50,8.32593,180.264,24644
50,15.9155,184.061,26105
50,12.3016,182.076,25370
50,9.31039,180.04,24971
50,12.1378,180.879,25126
50,10.9194,183.211,25685
50,13.4431,181.184,25712
50,10.3476,180.998,25442
50,12.8829,182.429,25152
50,7.08054,182.927,24835
50,10.9199,179.694,24547
50,11.8367,181.856,25372
50,10.951,180.599,25237
50,7.38751,179.624,24806
50,14.1726,181.908,24973
50,16.9105,180.963,25670
50,14.0287,181.926,25395
50,8.94081,180.72,25008
50,7.21292,182.104,24914
50,10.2103,181.696,25065
50,13.7686,180.859,25235
50,10.2134,181.105,24859
50,10.8408,180.517,25324
50,9.5794,180.797,25352
50,10.8959,181.716,25305
50,9.81967,180.679,25265
50,10.9192,180.339,25022
50,13.2538,184.219,25538
50,7.83756,181.117,25069
50,11.3717,180.572,25411
50,11.42,180.943,25320
50,9.98626,181.962,25712
50,11.4788,182.77,25290
50,10.8466,180.739,25356
50,8.11072,181.329,24927
50,12.1368,180.831,25435
50,11.7139,180.031,25128
50,11.7458,180.209,24771
50,12.1549,182.382,25089
50,12.1068,181.759,25417
50,10.4575,182.162,25367
50,8.67028,181.402,24721
50,15.4277,181.503,25686
50,10.1925,180.962,25071
50,10.7111,181.775,25005
50,9.51353,181.005,25331
50,13.1737,180.338,25004
50,9.7094,181.256,25253
50,9.9904,180.071,24741
50,14.1376,182.689,25085
50,13.8264,181.093,25652
50,11.2586,180.897,25489
50,17.4972,181.133,25664
50,10.1282,180.026,24803
50,7.55806,181.967,24645
50,8.81953,180.876,24931
50,9.59278,180.637,24920
50,16.849,200.144,25930
50,13.4004,190.757,25529
50,14.0035,188.858,25903
50,3.74468,184.476,23874
50,10.7493,188.945,25167
50,13.0131,189.262,25878
50,14.6436,185.973,25703
50,12.436,181.266,25645
50,9.94041,181.176,24775
50,13.1825,181.496,25263
50,17.0042,186.397,25490
50,13.8606,182.641,25462
50,10.9801,189.915,24957
50,7.84054,181.353,24823
50,10.9771,185.718,25076
50,11.6135,183.883,25267
50,11.1195,189.793,25311
50,10.7407,185.104,25492
50,8.29305,183.179,24858
50,8.52797,181.251,25181
50,11.8406,181.306,25337
50,15.4757,188.553,25544
50,12.9289,183.551,25437
50,13.2774,185.886,25347
50,13.675,188.731,25532
50,13.8616,187.598,25575
50,10.1633,185.758,25408
50,13.3211,184.122,25510
50,12.8874,186.613,25358
50,10.4815,190.499,25084
50,11.8222,188.24,25734
50,5.17537,185.569,25124
50,10.4538,189.776,25278
50,7.86827,187.943,24822
50,10.3617,181.922,25347
50,9.41495,190.882,25482
50,10.4102,182.76,25016
50,12.6145,191.847,25389
50,11.1282,180.595,25387
50,9.08873,180.516,25220
50,13.9485,184.57,25539
50,14.031,186.609,25500
50,7.42067,185.057,25093
50,13.5659,186.239,25343
50,8.25536,183.677,25097
50,9.05779,182.904,24820
50,8.84495,182.54,25419
50,12.3124,185.454,25522
50,13.4659,183.588,25825
50,14.6674,187.209,24944
50,11.5268,185.941,25384
50,12.0728,184.621,25527
50,7.49232,179.507,24486
50,7.82585,180.228,24639
50,10.8063,182.699,25601
