score,achieved_return,computational_cost,nb_calls
50,12.7766,178.335,24700
50,12.8366,179.194,24084
50,11.0455,180.585,24905
50,17.7202,179.097,24728
50,10.2402,186.63,23906
50,8.39127,181.344,24512
50,8.34987,178.974,24420
50,9.07386,181.955,24009
50,10.7389,180.161,24743
50,9.16584,178.175,24427
50,13.4109,179.611,24368
50,11.3072,178.55,24715
50,9.13758,179.084,24032
50,7.01729,179.247,23989
50,11.0081,181.351,24453
50,13.72,178.627,24510
50,6.62991,176.736,23750
50,11.4442,177.974,24349
50,4.59553,180.475,23866
50,16.8166,178.82,24635
50,13.482,178.62,24552
50,11.0096,179.042,24593
50,8.74931,178.148,24328
50,7.51113,180.353,24619
50,13.6157,180.237,24473
50,10.8657,177.379,24021
50,9.51396,179.279,24924
50,9.76541,179.899,24654
50,12.6282,176.792,23881
50,8.0754,179.792,24165
50,16.2973,179.019,24865
50,9.00267,178.111,24394
50,10.9874,177.746,24008
50,14.2182,177.603,24463
50,9.85263,180.218,24697
50,11.0196,180.016,24545
50,15.2377,178.584,24480
50,13.9085,177.856,24510
50,9.00315,177.174,24082
50,6.12247,177.956,24081
50,6.39522,179.575,24273
50,13.5501,181.184,24656
50,12.3393,177.47,24300
50,14.0637,185.066,24602
50,9.64506,178.513,24541
50,8.79129,179.372,24444
50,11.3367,178.518,23889
50,11.6592,177.954,24505
50,10.7649,177.802,24673
50,9.28859,176.946,24226
50,10.6876,177.66,24617
50,9.06979,179.981,23932
50,7.26532,178.412,24357
50,12.6764,178.725,24570
50,7.57911,178.998,24171
50,12.9517,177.826,24573
50,13.6038,180.405,24588
50,10.2314,179.966,24405
50,13.2606,179.539,24588
50,7.51721,180.44,23935
50,5.75326,178.776,24036
50,16.5636,178.451,24851
50,13.2769,179.763,24405
50,13.5781,177.464,23918
50,10.923,177.573,24473
50,13.087,177.396,24309
50,12.663,177.971,24386
50,12.678,180.306,24764
50,10.8295,180.228,24702
50,3.93549,178.598,24060
50,12.3621,177.797,24560
50,12.0171,177.547,24226
50,9.6995,176.623,23914
50,9.18997,178.857,23875
50,9.99988,178.902,24619
50,11.7802,177.981,24381
