score,achieved_return,computational_cost,nb_calls
50,8.48712,189.557,24706
50,9.43545,182.727,24540
50,11.6618,183.172,24612
50,9.15004,184.089,24609
50,16.3508,185.609,25321
50,10.5396,184.868,24301
50,9.90631,184.882,24755
50,7.55794,182.844,23982
50,9.81034,183.758,24783
50,12.5101,185.402,24629
50,9.57245,194.615,24700
50,10.618,191.402,24322
50,12.7751,200.966,24706
50,10.6058,195.614,24845
50,8.21292,186.46,24195
50,9.65515,206.024,24338
50,8.31072,200.651,24213
50,11.3347,199.846,24594
50,14.1877,190.622,24976
50,10.2347,195.787,24403
50,14.5551,190.349,25147
50,9.79266,183.122,24078
50,9.86857,185.799,25029
50,11.6146,183.787,24795
50,10.199,182.91,24226
50,10.8103,183.928,24705
50,11.1053,184.002,24197
50,9.93325,183.469,24620
50,16.9494,184.616,25189
50,10.7889,185.576,24858
50,12.7611,184.465,24935
50,9.05804,184.956,24763
50,11.9659,184.786,24423
50,10.1456,183.328,24679
50,8.1471,181.953,23729
50,10.2819,183.408,23867
50,8.68773,184.189,24675
50,16.3194,185.097,25057
50,11.8907,186.088,24864
50,10.4501,183.48,24372
50,6.64221,183.543,24527
50,16.0002,184.377,24891
50,10.1798,185.732,24363
50,14.2146,183.924,24836
50,12.8564,183.473,24303
50,10.5028,184.586,24705
50,12.6387,184.354,24780
50,7.58921,183.616,24181
50,9.89938,183.932,24677
50,11.0073,182.117,24125
50,10.6762,182.763,24628
50,9.55544,183.572,24724
50,8.76923,182.547,24573
50,13.2099,182.965,24534
50,5.24159,181.501,23640
50,13.6879,182.805,24534
50,9.57942,183.051,24757
50,13.2299,183.527,24961
50,9.81901,184.374,24526
50,8.91943,182.086,23969
50,7.24067,182.191,24450
50,13.9915,184.259,24956
50,6.0213,182.286,24453
50,6.06962,182.494,24237
50,8.63314,183.655,24668
50,9.04809,182.166,24137
50,7.57829,182.755,24471
50,7.0232,183.826,24272
50,9.83542,183.858,24662
50,11.1266,183.116,24461
50,14.4158,182.541,24420
50,15.4023,184.043,24827
50,9.84517,182.462,24371
50,8.95647,183.45,24810
50,15.1801,187.159,24880
50,14.1794,184.489,24496
50,10.6886,184.354,24898
50,9.05184,184.126,24676
50,16.6547,184.683,24807
50,13.6743,185.014,24750
50,8.29406,183.085,23876
50,14.1278,187.057,24865
50,12.2827,184.146,24453
50,7.31802,183.115,24195
50,15.045,185.063,24848
50,8.68088,185.643,24275
50,4.06136,183.384,24319
50,16.8335,183.51,24286
50,13.1711,183.58,24156
50,10.6668,183.425,24090
50,13.8986,185.782,24891
50,14.2654,184.825,24925
50,9.67086,184.28,24550
50,6.79097,183.132,24122
50,11.1846,183.606,24326
50,10.5151,185.877,25037
50,11.2402,184.363,24258
50,10.2998,183.764,24404
50,12.9454,184.791,24685
50,7.86256,182.14,23624
50,12.6316,185.813,24801
50,10.4688,186.828,24077
50,11.1484,183.926,24147
50,14.7868,184.778,24793
50,14.3879,184.827,24763
50,14.1091,184.845,24790
50,8.8285,184.084,24165
50,10.6206,184.516,24879
50,11.8132,184.083,24570
50,9.47011,184.406,24639
50,16.8294,185.19,25143
50,9.74058,184.113,24181
50,13.2614,185.003,24910
50,8.93547,185.225,24837
50,10.5191,183.911,24370
50,12.4829,184.016,24237
50,9.77291,184.259,24669
50,10.832,184.049,24193
50,10.7974,183.813,24422
50,5.46586,183.053,24178
50,9.58777,184.694,25006
