score,achieved_return,computational_cost,nb_calls
10,0.241801,37.319,5068
10,0.00412431,37.996,4971
10,0.00102469,37.001,4875
10,0.0369565,38.753,5174
10,0.000151687,38.109,4804
10,0.0369565,37.852,5158
10,0.0304885,37.309,5052
10,0.0369565,37.35,5098
10,0.0304885,38.037,5053
10,0.00102469,37.342,4882
10,0.0304885,38.722,5124
10,0.0951492,38.648,4956
10,0.0369565,38.358,5172
10,0.0138288,37.015,4960
10,0.000420701,38.096,5001
10,2.11003e-10,37.475,4799
10,0.0369565,38.135,5154
10,0.000420701,37.565,4962
10,0.00951312,39.204,4691
10,0.0304885,39.224,5113
10,0.0369565,39.033,5121
10,0.0304885,37.484,5130
10,0.012657,38.009,4897
10,0.0125607,37.52,4971
10,0.000420701,37.493,4960
10,6.42419e-13,36.711,4512
10,3.01023e-15,36.84,4441
10,0.00102469,38.145,4900
10,0.0304885,38.926,5117
10,0.000420701,38.69,5073
10,0.0951492,39.162,4975
10,1.24476e-12,36.821,4593
10,0.00412431,37.736,4927
10,0.0043605,37.891,4988
10,0.0125607,37.586,5022
10,0.000420701,37.745,5010
10,0.012657,38.518,4853
10,0.000420668,36.663,4934
10,0.0043605,36.729,4947
10,0.0369565,37.271,5137
10,0.241801,38,4968
10,0.000420701,37.838,4994
10,3.05494e-07,37.51,4760
10,0.000429725,37.753,4956
10,0.0304885,37.236,5146
10,0.00102453,39.738,4902
10,0.0323206,38.73,4773
10,0.0116256,38.36,4924
10,0.00102469,38.773,4950
10,0.00436047,37.468,5030
10,0.241801,37.257,4983
10,0.0304885,37.58,5123
10,0.000206417,37.309,4872
10,0.000420701,40.21,5026
10,1.21808e-12,35.996,4512
10,0.0323206,36.889,4786
10,0.0369565,37.209,5085
10,0.0116256,36.856,4948
10,0.241801,38.043,4964
10,0.000420701,37.035,4973
10,0.000420701,37.605,5001
10,0.0971695,36.501,4821
10,1.24476e-12,36.058,4607
10,0.0304885,39.752,5118
10,0.0951492,37.381,4871
10,9.21171e-06,37.307,4900
10,0.0115293,37.176,5049
10,0.0369565,39.014,5177
10,7.6266e-08,37.396,4443
10,1.877e-10,37.62,4600
10,0.0951492,37.948,4931
10,0.0369565,37.839,5099
10,0.0323206,36.111,4751
10,0.00102469,36.906,4845
10,0.0369565,37.224,5165
10,0.000420701,36.886,4909
10,0.00102469,39.509,4899
10,0.012657,38.346,4828
10,0.0369565,38.71,5148
10,0.0304885,38.678,5096
10,0.000429725,37.185,4962
10,0.0304885,37.516,5089
10,3.21302e-07,36.651,4650
10,0.000225655,37.504,5065
10,0.000420668,37.967,5004
10,0.0116256,39.276,4921
10,0.000239229,38.705,5015
10,0.0369565,37.697,5219
10,0.0369565,39.103,5150
10,0.0369565,37.989,5136
10,0.0043605,37.357,5003
10,0.0138288,36.92,4861
10,0.0951494,36.338,4844
10,0.0951492,36.499,4892
10,0.000239229,39.124,5026
10,0.00102469,36.725,4872
10,0.00412431,38.445,5025
10,0.0043605,38.148,4944
10,1.92483e-08,36.658,4595
10,0.0369565,36.88,5101
10,0.00102453,37.409,4850
10,0.000150642,37.283,4813
10,0.00525905,37.218,4743
10,3.93248e-08,39.238,4777
10,1.9016e-05,38.096,4940
10,0.0369565,38.458,5148
10,0.0369565,38.038,5156
10,5.77335e-07,37.781,4828
10,0.0304885,36.96,5068
10,1.64682e-07,36.624,4771
10,0.0951492,37.217,4915
10,0.0369565,38.328,5116
10,1.9016e-05,38.62,4850
10,0.000420701,37.053,4957
10,0.241801,38.589,4955
10,0.000420701,38.648,4995
10,0.000208337,37.059,4704
10,0.0323206,36.891,4822
10,0.0369565,38.18,5247
10,0.000420701,37.818,5037
10,0.0369565,38.112,5155
10,0.0369565,39.479,5130
10,0.0369565,37.501,5143
10,0.00102469,38.669,4937
10,0.00102469,38.308,4821
10,0.0369565,37.411,5098
10,6.6909e-13,36.714,4542
10,0.000420701,36.567,4923
10,0.000430764,37.182,4874
10,0.0304885,37.844,5041
10,0.000420668,40.329,5004
10,0.0043605,37.071,5006
10,0.0369565,38.732,5210
10,1.09413e-12,38.173,4638
10,0.241801,37.77,5046
10,0.00102469,36.687,4821
10,0.0116256,37.011,4963
10,0.0043605,36.919,5011
10,1.24476e-12,36.307,4568
10,0.012657,39.266,4902
10,0.0043605,38.643,4960
10,0.012657,37.668,4906
10,0.0369565,38.759,5100
10,0.012657,37.717,4909
10,0.00525933,36.891,4845
10,0.00412431,36.855,5026
10,0.000420701,38.114,5023
10,0.0304885,39.875,5063
10,2.10566e-10,38.463,4640
10,0.0304885,37.298,5112
10,0.000151687,36.777,4800
10,0.00102453,39.317,4956
10,0.00412431,38.663,5028
10,0.0304885,38.224,5094
10,0.0304885,38.461,5057
10,0.000225655,37.278,5105
10,0.0304885,37.263,5069
10,0.0138288,36.972,4916
10,0.00102469,37.04,4926
10,7.84891e-11,36.321,4597
10,0.000420668,38.21,5021
10,2.98268e-09,36.038,4543
10,0.0043605,38.334,4974
10,0.012657,38.361,4898
10,0.0369565,36.981,5065
10,0.00102469,39.048,4895
10,0.0116256,37.108,4997
10,0.00102469,36.731,4880
10,1.83005e-12,36.089,4577
10,2.79197e-07,36.925,4701
10,0.0304885,38.434,5157
10,0.000150642,36.679,4860
10,6.93271e-13,37.384,4726
10,0.0369565,38.977,5221
10,5.79067e-07,38.018,4849
10,0.00102469,37.123,4895
10,0.0304885,37.445,5014
10,9.21637e-06,36.587,4874
10,1.44316e-10,36.62,4483
10,0.0115293,39.339,5064
10,2.79178e-07,37.995,4593
10,0.0369565,38.906,5110
10,1.2181e-12,38.105,4685
10,0.00525905,36.692,4800
10,0.00043077,37.068,4880
10,9.29471e-08,36.406,4600
10,0.000225655,37.914,4990
10,0.0304885,37.823,5097
10,0.241801,38.353,4958
10,0.0585672,37.835,4717
10,0.0304885,38.38,5095
10,1.63898e-07,37.913,4623
10,0.0304885,38.183,5112
10,0.000420668,37.176,4919
10,0.000429725,37.125,4934
10,0.0369565,38.321,5118
10,0.000957597,37.034,4858
10,0.0125607,36.779,4991
10,1.60819e-12,36.369,4425
10,0.000957597,37.177,4898
10,0.0043605,37.332,5020
10,0.0304885,39.817,5107
10,0.00102469,37.693,4822
10,1.44316e-10,36.881,4574
10,0.0369565,37.367,5199
10,1.64682e-07,37.683,4858
10,0.000225655,36.955,5036
10,1.24476e-12,37.684,4530
10,0.000420701,39.424,4991
10,0.0304885,42.049,5071
