score,achieved_return,computational_cost,nb_calls
50,19.7367,187.419,25938
50,28.5295,181.549,25884
50,17.1246,180.555,25267
50,24.1726,182.405,25600
50,21.7465,180.492,25571
50,17.326,183.063,25380
50,20.0728,183.879,25118
50,14.4262,181.274,25287
50,17.553,181.21,25380
50,19.2566,182.865,25312
50,17.6573,183.181,25660
50,24.8251,180.857,25517
50,29.5734,181.63,25664
50,18.9531,181.287,25682
50,18.6985,180.176,25395
50,17.8471,180.767,25318
50,21.416,183.998,25155
50,32.1407,182.559,25936
50,18.8367,180.325,24940
50,30.9092,185.688,26171
50,25.6004,180.211,25399
50,21.3675,184.974,25810
50,16.9535,182.849,25261
50,18.3214,181.826,25464
50,12.1035,181.857,25528
50,14.3402,181.317,25216
50,21.9271,182.706,25853
50,30.3778,181.449,25850
50,20.0484,180.6,25589
50,16.5382,181.71,25234
50,17.9264,180.639,25490
50,16.5683,180.214,25447
50,22.1172,188.005,25941
50,16.2132,182.431,25060
50,31.739,182.557,25971
50,29.0216,183.453,26177
50,30.423,181.13,25599
50,21.2546,182.756,25937
50,25.2143,182.888,25624
50,17.3011,184.28,25416
50,19.8649,181.809,25690
50,15.7353,183.41,25369
50,17.2633,183.966,25923
50,17.068,182.595,25596
50,22.4152,182.879,26000
50,13.8541,183.267,25208
50,16.4442,192.716,25145
50,25.2494,199.145,25666
50,15.555,194.188,25244
50,17.9688,188.604,25346
50,13.5465,190.446,25008
50,30.3305,189.712,25794
50,13.0044,183.457,25174
50,20.235,198.785,26120
50,23.0412,194.669,25523
50,19.9247,192.012,25272
50,19.2773,192.776,26122
50,18.2048,187.999,25115
50,20.5617,184.175,25684
50,27.9417,186.372,25938
50,23.2491,183.569,25567
50,12.4419,188.163,25245
50,18.9972,187.862,25353
50,25.8678,190.308,25715
50,17.7186,198.249,25704
50,19.5849,202.675,26160
50,26.6373,184.085,25689
50,23.2625,188.244,25928
50,16.3357,182.611,25060
50,23.1683,190.9,25357
50,23.4004,189.578,25443
50,30.7778,196.294,25733
50,16.7179,188.819,25080
50,15.0482,195.19,24931
50,24.3993,189.063,25580
50,19.7479,184.452,25992
50,26.0874,192.238,25590
50,21.2992,185.858,25961
50,25.2185,199.55,25986
50,29.7396,196.917,25704
50,17.6089,186.007,25532
50,18.2554,183.597,25678
50,21.2817,186.156,25444
50,19.8765,182.937,26281
50,17.3457,183.188,26003
50,17.8071,182.639,25233
50,15.8976,186.783,25389
50,16.8399,186.701,25616
50,23.3945,185.861,25524
50,20.6578,185.122,25402
50,25.9278,185.019,25768
50,15.629,182.153,25389
50,18.8056,181.019,25350
50,16.2633,181.245,25498
50,18.7764,185.283,25519
50,29.8232,193.327,25939
