score,achieved_return,computational_cost,nb_calls
50,7.40392,179.598,24970
50,14.9299,182.347,26017
50,10.0813,181.143,25449
50,6.68784,177.952,24852
50,6.4072,179.899,25227
50,9.1569,179.912,25841
50,12.0545,178.218,24981
50,11.4484,181.016,25257
50,13.3049,181.827,25661
50,11.9154,179.788,25676
50,14.4699,181.398,25984
50,10.5139,179.856,25112
50,11.8812,180.974,25615
50,9.96524,180.028,25081
50,13.2334,181.037,25562
50,11.7453,179.901,25209
50,11.7784,179.452,25662
50,16.7063,182.139,26231
50,5.93607,180.93,24876
50,13.3243,180.176,26001
50,9.06333,180.459,25199
50,12.1466,179.872,25619
50,16.9991,189.191,25801
50,4.51968,181.15,25012
50,11.7606,182.051,25522
50,10.9769,182.058,24933
50,16.8635,181.056,26123
50,8.41456,178.361,24929
50,7.37975,178.11,25060
50,10.209,183.404,26113
50,10.2234,179.917,25669
50,11.7683,179.983,25770
50,15.9208,180.945,26330
50,8.83729,180.825,24947
50,7.44713,181.586,25127
50,11.3598,181.149,25831
50,13.5179,180.286,26057
50,8.08432,179.229,25284
50,8.66878,180.862,24954
50,8.01041,179.074,25479
50,13.9431,182.382,25297
50,12.1626,180.185,25868
50,7.47445,179.539,25468
50,7.73981,179.741,25119
50,7.44704,179.333,24861
50,9.79633,179.737,24816
50,12.1041,182.09,26073
50,8.13951,179.055,25287
50,4.71567,178.623,24367
50,7.36965,179.393,24869
50,12.8173,179.963,25619
50,10.8027,180.433,25058
50,10.3277,179.448,25452
50,10.6489,180.906,26113
50,10.0371,180.63,26092
50,17.5727,180.777,26394
50,11.8661,182.281,26501
50,10.3631,181.399,25905
50,10.6688,178.916,25049
50,13.0105,181.268,25921
50,10.3167,179.143,25206
50,6.47533,179.37,25016
50,10.4875,181.208,25762
50,11.7189,179.49,25615
50,9.57506,179.961,25798
50,16.1485,181.865,26301
50,11.1529,180.814,25796
50,13.4831,181.686,25444
50,8.8922,179.023,25043
50,9.20116,178.825,25123
50,5.37784,179.765,25569
50,10.6762,180.819,25836
50,10.766,180.396,25344
50,12.3055,184.133,26005
50,10.1833,181.239,25300
50,13.4145,184.211,25865
50,9.45769,181.515,25170
50,10.0816,179.643,25278
50,9.95768,181.072,24915
50,12.7798,181.537,25991
50,8.57268,179.951,25614
50,12.9501,181.495,26132
